4451,-0.0353,0.0351,0.9938,0.2275,0.0613,0.2887,stationary
4551,-0.0346,0.0341,0.9933,0.2100,0.0175,0.2275,stationary
4651,-0.0365,0.0344,0.9950,0.2100,0.0875,0.2450,stationary
4751,-0.0354,0.0351,0.9928,0.0437,0.0262,0.3150,stationary
4851,-0.0359,0.0350,0.9943,0.1663,0.0088,0.2100,stationary
4951,-0.0351,0.0354,0.9942,0.1750,0.1138,0.2713,stationary
5051,-0.0356,0.0344,0.9930,0.1400,0.0875,0.0962,stationary
5151,-0.0344,0.0346,0.9943,0.2713,0.0787,0.2188,stationary
5251,-0.0347,0.0359,0.9933,0.1575,0.0000,0.2362,stationary
5351,-0.0356,0.0342,0.9934,0.2188,0.0262,0.2188,stationary
5451,-0.0357,0.0353,0.9945,0.2275,-0.0175,0.2275,stationary
5551,-0.0367,0.0340,0.9938,0.1312,0.0175,0.1488,stationary
5651,-0.0353,0.0349,0.9941,0.1838,0.0875,0.2275,stationary
5751,-0.0351,0.0351,0.9939,0.1838,0.0613,0.2100,stationary
5851,-0.0362,0.0342,0.9944,0.2275,0.0525,0.2450,stationary
5951,-0.0354,0.0346,0.9936,0.1575,0.0787,0.2450,stationary
6051,-0.0366,0.0334,0.9946,0.2188,-0.0175,0.2975,stationary
6151,-0.0358,0.0343,0.9936,0.1575,0.0350,0.2450,stationary
6251,-0.0354,0.0336,0.9953,0.1575,0.0350,0.2625,stationary
6351,-0.0352,0.0345,0.9929,0.1925,-0.0700,0.2100,stationary
6451,-0.0359,0.0352,0.9936,0.0700,0.0262,0.2450,stationary
6551,-0.0357,0.0349,0.9943,0.2537,0.0262,0.2188,stationary
6651,-0.0346,0.0342,0.9926,0.1225,0.0525,0.2188,stationary
6751,-0.0344,0.0344,0.9926,0.1400,0.0525,0.2887,stationary
6851,-0.0356,0.0342,0.9945,0.1575,0.0962,0.1750,stationary
6951,-0.0356,0.0353,0.9934,0.1312,0.0787,0.2362,stationary
7051,-0.0356,0.0344,0.9930,0.1925,0.0700,0.2450,stationary
7151,-0.0349,0.0339,0.9933,0.2100,0.1312,0.1838,stationary
7251,-0.0353,0.0336,0.9928,0.2362,0.0175,0.2625,stationary
7351,-0.0362,0.0344,0.9931,0.1838,0.1575,0.2013,stationary
7451,-0.0368,0.0330,0.9945,0.1663,0.0613,0.2800,stationary
7551,-0.0354,0.0320,0.9939,0.1575,0.0875,0.2188,stationary
7651,-0.0359,0.0344,0.9934,0.0962,0.0262,0.2100,stationary
7751,-0.0346,0.0335,0.9943,0.2013,0.0437,0.2450,stationary
7851,-0.0348,0.0334,0.9945,0.0700,0.0525,0.3413,stationary
7951,-0.0351,0.0346,0.9938,0.1663,0.0700,0.2013,stationary
8051,-0.0359,0.0350,0.9936,0.2100,0.0525,0.2537,stationary
8151,-0.0358,0.0342,0.9947,0.1925,0.1312,0.2537,stationary
8251,-0.0347,0.0329,0.9955,0.2100,0.1050,0.2625,stationary
8351,-0.0361,0.0341,0.9944,0.2713,0.0787,0.2275,stationary
8451,-0.0368,0.0334,0.9947,0.1575,0.0962,0.1488,stationary
8551,-0.0361,0.0345,0.9939,0.1050,-0.0088,0.1925,stationary
8651,-0.0356,0.0346,0.9945,0.2275,0.0175,0.2013,stationary
8751,-0.0352,0.0339,0.9948,0.0525,0.0262,0.2537,stationary
8851,-0.0342,0.0346,0.9955,0.0875,0.0700,0.1838,stationary
8951,-0.0359,0.0337,0.9928,0.1575,0.1400,0.2188,stationary
9051,-0.0342,0.0344,0.9917,0.1750,-0.0088,0.2713,stationary
9151,-0.0349,0.0346,0.9936,0.2537,0.0350,0.2450,stationary
9251,-0.0364,0.0352,0.9933,0.1838,0.0875,0.2975,stationary
9351,-0.0356,0.0329,0.9948,0.1225,0.0262,0.2975,stationary
9451,-0.0362,0.0348,0.9945,0.1663,0.1225,0.2362,stationary
9551,-0.0346,0.0342,0.9933,0.1400,0.0525,0.2100,stationary
9651,-0.0346,0.0332,0.9939,0.1750,0.1138,0.2100,stationary
9751,-0.0364,0.0350,0.9931,0.2013,0.0000,0.2013,stationary
9851,-0.0354,0.0343,0.9944,0.2275,0.0350,0.2713,stationary
9951,-0.0359,0.0352,0.9938,0.1575,0.0525,0.2188,stationary
10051,-0.0342,0.0340,0.9946,0.2537,0.1400,0.2625,stationary
10151,-0.0356,0.0346,0.9950,0.1663,0.0350,0.2275,stationary
10251,-0.0353,0.0354,0.9942,0.2100,-0.0437,0.2188,stationary
10351,-0.0346,0.0353,0.9943,0.1225,-0.0175,0.2275,stationary
10451,-0.0356,0.0342,0.9939,0.2450,0.0350,0.2362,stationary
10551,-0.0351,0.0352,0.9944,0.1225,0.1138,0.2013,stationary
10651,-0.0356,0.0351,0.9943,0.2013,0.1225,0.2450,stationary
10751,-0.0346,0.0356,0.9941,0.1488,0.0613,0.2625,stationary
10851,-0.0350,0.0342,0.9943,0.2100,0.0437,0.2188,stationary
10951,-0.0361,0.0340,0.9950,0.1838,0.1138,0.2537,stationary
11051,-0.0351,0.0342,0.9926,0.1400,0.0787,0.2013,stationary
11151,-0.0362,0.0346,0.9931,0.1400,0.0613,0.2537,stationary
11251,-0.0351,0.0346,0.9936,0.2013,0.0000,0.2188,stationary
11351,-0.0346,0.0331,0.9953,0.1838,0.0350,0.2625,stationary
11451,-0.0358,0.0337,0.9953,0.2188,0.0350,0.3063,stationary
11551,-0.0366,0.0342,0.9936,0.2275,0.0875,0.2625,stationary
11651,-0.0348,0.0352,0.9934,0.1138,0.0700,0.2100,stationary
11751,-0.0356,0.0345,0.9941,0.2188,0.0437,0.2450,stationary
11851,-0.0358,0.0340,0.9940,0.1838,0.1575,0.2100,stationary
11951,-0.0353,0.0332,0.9929,0.1750,0.1050,0.2188,stationary
12051,-0.0357,0.0347,0.9935,0.1925,0.0350,0.2188,stationary
12151,-0.0343,0.0349,0.9945,0.2275,0.1312,0.1925,stationary
12251,-0.0349,0.0346,0.9945,0.1488,0.0000,0.2975,stationary
12351,-0.0361,0.0334,0.9943,0.2013,0.0437,0.2537,stationary
12451,-0.0358,0.0340,0.9936,0.1138,0.1750,0.2013,stationary
12551,-0.0353,0.0344,0.9940,0.1575,0.0700,0.2362,stationary
12651,-0.0342,0.0337,0.9943,0.1925,0.1488,0.2800,stationary
12751,-0.0348,0.0332,0.9950,0.1663,0.0350,0.2450,stationary
12851,-0.0351,0.0348,0.9919,0.0700,0.0875,0.2362,stationary
12951,-0.0367,0.0336,0.9948,0.1400,0.0350,0.2188,stationary
13051,-0.0348,0.0337,0.9950,0.2013,0.1050,0.2188,stationary
13151,-0.0347,0.0337,0.9933,0.1750,0.0613,0.2537,stationary
13251,-0.0345,0.0346,0.9942,0.2362,0.1050,0.1925,stationary
13351,-0.0352,0.0341,0.9931,0.0962,0.0350,0.2275,stationary
13451,-0.0353,0.0344,0.9948,0.0875,0.0613,0.2362,stationary
13551,-0.0357,0.0350,0.9936,0.2450,0.0175,0.2013,stationary
13651,-0.0363,0.0345,0.9936,0.1925,0.0350,0.2713,stationary
13751,-0.0356,0.0339,0.9928,0.1838,0.0700,0.2625,stationary
