x_g,y_g,z_g,x_dps,y_dps,z_dps,orientation
343,-0.0364,0.0334,0.9935,0.245,0.07,0.2713,stationary_z_up
344,-0.035,0.0345,0.9931,0.1663,-0.0262,0.21,stationary_z_up
345,-0.035,0.0345,0.9928,0.0525,0,0.245,stationary_z_up
346,-0.0356,0.0334,0.9944,0.14,0.0613,0.21,stationary_z_up
347,-0.0354,0.0342,0.9933,0.175,-0.0262,0.2275,stationary_z_up
348,-0.0351,0.0345,0.995,0.1575,0.105,0.1925,stationary_z_up
349,-0.0365,0.0334,0.9922,0.1925,0.0262,0.245,stationary_z_up
350,-0.0356,0.0346,0.9936,0.1488,0.035,0.2537,stationary_z_up
351,-0.0354,0.0334,0.9944,0.2188,0.1663,0.2362,stationary_z_up
352,-0.0347,0.0336,0.9933,0.175,-0.0088,0.1925,stationary_z_up
353,-0.0356,0.0332,0.9917,0.14,0.07,0.2625,stationary_z_up
354,-0.0364,0.0334,0.9948,0.2275,0,0.2713,stationary_z_up
355,-0.035,0.0339,0.9939,0.2537,0.14,0.2275,stationary_z_up
356,-0.0349,0.0342,0.9943,0.2537,0.0787,0.28,stationary_z_up
357,-0.0349,0.0336,0.9938,0.1838,0.105,0.1925,stationary_z_up
358,-0.0342,0.0344,0.9946,0.2275,0.175,0.21,stationary_z_up
359,-0.0367,0.0351,0.9939,0.1575,0.07,0.2188,stationary_z_up
360,-0.0352,0.0339,0.9953,0.1488,0.1225,0.2975,stationary_z_up
361,-0.0358,0.0348,0.9942,0.2188,0.1225,0.2188,stationary_z_up
362,-0.0348,0.0334,0.9919,0.2013,0.0962,0.2275,stationary_z_up
363,-0.0346,0.0339,0.9923,0.0962,0.0088,0.2362,stationary_z_up
364,-0.0348,0.0346,0.9941,0.2013,0.07,0.2362,stationary_z_up
365,-0.035,0.0347,0.9926,0.175,0,0.2713,stationary_z_up
366,-0.0346,0.0346,0.9951,0.07,0.1138,0.1838,stationary_z_up
367,-0.0362,0.0343,0.9926,0.0875,-0.0613,0.245,stationary_z_up
368,-0.0346,0.0337,0.9934,0.2013,-0.035,0.2625,stationary_z_up
369,-0.0368,0.0332,0.9936,0.1925,0.07,0.245,stationary_z_up
370,-0.035,0.0334,0.9941,0.2013,0.0875,0.2887,stationary_z_up
371,-0.0361,0.0342,0.9935,0.1575,0.0175,0.2013,stationary_z_up
372,-0.0345,0.0339,0.9943,0.105,0.0437,0.2625,stationary_z_up
373,-0.0351,0.0335,0.9936,0.2013,0.07,0.2188,stationary_z_up
374,-0.0342,0.0337,0.9948,0.0962,0.0787,0.2625,stationary_z_up
375,-0.0349,0.0337,0.9936,0.1138,0.0175,0.245,stationary_z_up
376,-0.0344,0.0351,0.9933,0.2188,0.0437,0.2713,stationary_z_up
377,-0.0356,0.0349,0.9943,0.2188,0.0962,0.1925,stationary_z_up
378,-0.0351,0.0331,0.9931,0.0613,0.035,0.1838,stationary_z_up
379,-0.0357,0.0345,0.9933,0.1838,0.0962,0.2887,stationary_z_up
380,-0.0357,0.0349,0.9936,0.2537,0.0437,0.2013,stationary_z_up
381,-0.0356,0.0347,0.9944,0.2188,0.07,0.2362,stationary_z_up
382,-0.0359,0.0336,0.9925,0.1575,0.0088,0.2537,stationary_z_up
383,-0.0356,0.035,0.9962,0.2188,0.0437,0.245,stationary_z_up
384,-0.0352,0.0346,0.9945,0.2013,0.1138,0.2625,stationary_z_up
385,-0.0345,0.0354,0.9931,0.14,0.035,0.21,stationary_z_up
386,-0.0351,0.0329,0.9931,0.1663,0.0787,0.2362,stationary_z_up
387,-0.0362,0.0336,0.9933,0.1575,0.0525,0.3063,stationary_z_up
388,-0.0359,0.0346,0.9921,0.2188,-0.035,0.2537,stationary_z_up
389,-0.0346,0.0341,0.9941,0.1838,-0.0262,0.2188,stationary_z_up
390,-0.0349,0.034,0.9931,0.1838,0.0262,0.2887,stationary_z_up
391,-0.0362,0.0345,0.9933,0.21,0.0262,0.2362,stationary_z_up
392,0.9938,0.0351,0.0353,0.2275,0.0613,0.2887,stationary_x_up
393,0.9933,0.0341,0.0346,0.21,0.0175,0.2275,stationary_x_up
394,0.995,0.0344,0.0365,0.21,0.0875,0.245,stationary_x_up
395,0.9928,0.0351,0.0354,0.0437,0.0262,0.315,stationary_x_up
396,0.9943,0.035,0.0359,0.1663,0.0088,0.21,stationary_x_up
397,0.9942,0.0354,0.0351,0.175,0.1138,0.2713,stationary_x_up
398,0.993,0.0344,0.0356,0.14,0.0875,0.0962,stationary_x_up
399,0.9943,0.0346,0.0344,0.2713,0.0787,0.2188,stationary_x_up
400,0.9933,0.0359,0.0347,0.1575,0,0.2362,stationary_x_up
401,0.9934,0.0342,0.0356,0.2188,0.0262,0.2188,stationary_x_up
402,0.9945,0.0353,0.0357,0.2275,-0.0175,0.2275,stationary_x_up
403,0.9938,0.034,0.0367,0.1312,0.0175,0.1488,stationary_x_up
404,0.9941,0.0349,0.0353,0.1838,0.0875,0.2275,stationary_x_up
405,0.9939,0.0351,0.0351,0.1838,0.0613,0.21,stationary_x_up
406,0.9944,0.0342,0.0362,0.2275,0.0525,0.245,stationary_x_up
407,0.9936,0.0346,0.0354,0.1575,0.0787,0.245,stationary_x_up
408,0.9946,0.0334,0.0366,0.2188,-0.0175,0.2975,stationary_x_up
409,0.9936,0.0343,0.0358,0.1575,0.035,0.245,stationary_x_up
410,0.9953,0.0336,0.0354,0.1575,0.035,0.2625,stationary_x_up
411,0.9929,0.0345,0.0352,0.1925,-0.07,0.21,stationary_x_up
412,0.9936,0.0352,0.0359,0.07,0.0262,0.245,stationary_x_up
413,0.9943,0.0349,0.0357,0.2537,0.0262,0.2188,stationary_x_up
414,0.9926,0.0342,0.0346,0.1225,0.0525,0.2188,stationary_x_up
415,0.9926,0.0344,0.0344,0.14,0.0525,0.2887,stationary_x_up
416,0.9945,0.0342,0.0356,0.1575,0.0962,0.175,stationary_x_up
417,0.9934,0.0353,0.0356,0.1312,0.0787,0.2362,stationary_x_up
418,0.993,0.0344,0.0356,0.1925,0.07,0.245,stationary_x_up
419,0.9933,0.0339,0.0349,0.21,0.1312,0.1838,stationary_x_up
420,0.9928,0.0336,0.0353,0.2362,0.0175,0.2625,stationary_x_up
421,0.9931,0.0344,0.0362,0.1838,0.1575,0.2013,stationary_x_up
422,0.9945,0.033,0.0368,0.1663,0.0613,0.28,stationary_x_up
423,0.9939,0.032,0.0354,0.1575,0.0875,0.2188,stationary_x_up
424,0.9934,0.0344,0.0359,0.0962,0.0262,0.21,stationary_x_up
425,0.9943,0.0335,0.0346,0.2013,0.0437,0.245,stationary_x_up
426,0.9945,0.0334,0.0348,0.07,0.0525,0.3413,stationary_x_up
427,0.9938,0.0346,0.0351,0.1663,0.07,0.2013,stationary_x_up
428,0.9936,0.035,0.0359,0.21,0.0525,0.2537,stationary_x_up
429,0.9947,0.0342,0.0358,0.1925,0.1312,0.2537,stationary_x_up
430,0.9955,0.0329,0.0347,0.21,0.105,0.2625,stationary_x_up
431,0.9944,0.0341,0.0361,0.2713,0.0787,0.2275,stationary_x_up
432,0.9947,0.0334,0.0368,0.1575,0.0962,0.1488,stationary_x_up
433,0.9939,0.0345,0.0361,0.105,-0.0088,0.1925,stationary_x_up
434,0.9945,0.0346,0.0356,0.2275,0.0175,0.2013,stationary_x_up
435,0.9948,0.0339,0.0352,0.0525,0.0262,0.2537,stationary_x_up
436,0.9955,0.0346,0.0342,0.0875,0.07,0.1838,stationary_x_up
437,0.9928,0.0337,0.0359,0.1575,0.14,0.2188,stationary_x_up
438,0.9917,0.0344,0.0342,0.175,-0.0088,0.2713,stationary_x_up
439,0.9936,0.0346,0.0349,0.2537,0.035,0.245,stationary_x_up
440,0.9933,0.0352,0.0364,0.1838,0.0875,0.2975,stationary_x_up
441,0.9948,0.0329,0.0356,0.1225,0.0262,0.2975,stationary_x_up
442,0.9945,0.0348,0.0362,0.1663,0.1225,0.2362,stationary_x_up
443,0.9933,0.0342,0.0346,0.14,0.0525,0.21,stationary_x_up
444,0.9939,0.0332,0.0346,0.175,0.1138,0.21,stationary_x_up
445,0.9931,0.035,0.0364,0.2013,0,0.2013,stationary_x_up
446,0.9944,0.0343,0.0354,0.2275,0.035,0.2713,stationary_x_up
447,0.9938,0.0352,0.0359,0.1575,0.0525,0.2188,stationary_x_up
448,0.9946,0.034,0.0342,0.2537,0.14,0.2625,stationary_x_up
449,0.995,0.0346,0.0356,0.1663,0.035,0.2275,stationary_x_up
450,0.9942,0.0354,0.0353,0.21,-0.0437,0.2188,stationary_x_up
451,0.9943,0.0353,0.0346,0.1225,-0.0175,0.2275,stationary_x_up
452,0.9939,0.0342,0.0356,0.245,0.035,0.2362,stationary_x_up
453,0.9944,0.0352,0.0351,0.1225,0.1138,0.2013,stationary_x_up
454,0.9943,0.0351,0.0356,0.2013,0.1225,0.245,stationary_x_up
455,0.9941,0.0356,0.0346,0.1488,0.0613,0.2625,stationary_x_up
456,0.9943,0.0342,0.035,0.21,0.0437,0.2188,stationary_x_up
457,0.995,0.034,0.0361,0.1838,0.1138,0.2537,stationary_x_up
458,0.9926,0.0342,0.0351,0.14,0.0787,0.2013,stationary_x_up
459,0.9931,0.0346,0.0362,0.14,0.0613,0.2537,stationary_x_up
460,0.9936,0.0346,0.0351,0.2013,0,0.2188,stationary_x_up
461,0.9953,0.0331,0.0346,0.1838,0.035,0.2625,stationary_x_up
462,0.9953,0.0337,0.0358,0.2188,0.035,0.3063,stationary_x_up
463,0.9936,0.0342,0.0366,0.2275,0.0875,0.2625,stationary_x_up
464,0.9934,0.0352,0.0348,0.1138,0.07,0.21,stationary_x_up
465,0.9941,0.0345,0.0356,0.2188,0.0437,0.245,stationary_x_up
466,0.994,0.034,0.0358,0.1838,0.1575,0.21,stationary_x_up
467,0.9929,0.0332,0.0353,0.175,0.105,0.2188,stationary_x_up
468,0.9935,0.0347,0.0357,0.1925,0.035,0.2188,stationary_x_up
469,0.9945,0.0349,0.0343,0.2275,0.1312,0.1925,stationary_x_up
470,0.9945,0.0346,0.0349,0.1488,0,0.2975,stationary_x_up
471,0.9943,0.0334,0.0361,0.2013,0.0437,0.2537,stationary_x_up
472,0.9936,0.034,0.0358,0.1138,0.175,0.2013,stationary_x_up
473,0.994,0.0344,0.0353,0.1575,0.07,0.2362,stationary_x_up
474,0.9943,0.0337,0.0342,0.1925,0.1488,0.28,stationary_x_up
475,0.995,0.0332,0.0348,0.1663,0.035,0.245,stationary_x_up
476,0.9919,0.0348,0.0351,0.07,0.0875,0.2362,stationary_x_up
477,0.9948,0.0336,0.0367,0.14,0.035,0.2188,stationary_x_up
478,0.995,0.0337,0.0348,0.2013,0.105,0.2188,stationary_x_up
479,0.9933,0.0337,0.0347,0.175,0.0613,0.2537,stationary_x_up
480,0.9942,0.0346,0.0345,0.2362,0.105,0.1925,stationary_x_up
481,0.9931,0.0341,0.0352,0.0962,0.035,0.2275,stationary_x_up
482,0.9948,0.0344,0.0353,0.0875,0.0613,0.2362,stationary_x_up
483,0.9936,0.035,0.0357,0.245,0.0175,0.2013,stationary_x_up
484,0.9936,0.0345,0.0363,0.1925,0.035,0.2713,stationary_x_up
485,0.9928,0.0339,0.0356,0.1838,0.07,0.2625,stationary_x_up
486,0.9948,0.0348,0.0354,0.1225,0.1138,0.2537,stationary_x_up
487,0.9948,0.0351,0.0345,0.2275,-0.0437,0.2013,stationary_x_up
488,0.9944,0.0331,0.0364,0.1838,0.0525,0.2188,stationary_x_up
489,0.9951,0.0344,0.0357,0.2013,0.0962,0.2013,stationary_x_up
490,0.9946,0.033,0.0368,0.21,-0.0088,0.3237,stationary_x_up
491,0.9926,0.0342,0.0352,0.21,0.0525,0.1925,stationary_x_up
492,0.9944,0.0335,0.0361,0.175,0.0437,0.28,stationary_x_up
493,0.9933,0.0344,0.0364,0.14,0.0787,0.28,stationary_x_up
494,0.994,0.0341,0.0359,0.0962,-0.035,0.1838,stationary_x_up
495,0.9933,0.0348,0.0359,0.2013,0.0262,0.2013,stationary_x_up
496,0.9939,0.0342,0.0354,0.1575,0.105,0.2537,stationary_x_up
497,0.9928,0.0342,0.0359,0.2013,0.0525,0.2275,stationary_x_up
498,0.993,0.0351,0.0359,0.1925,0.0525,0.2887,stationary_x_up
499,0.9944,0.0337,0.0344,0.1663,0.0613,0.1838,stationary_x_up
500,0.995,0.0346,0.0349,0.2188,0.07,0.2362,stationary_x_up
501,0.9947,0.0349,0.0371,0.2275,0.0088,0.2975,stationary_x_up
502,0.9935,0.0329,0.0358,0.21,0.0088,0.2537,stationary_x_up
503,0.9936,0.0344,0.0354,0.21,-0.0088,0.2188,stationary_x_up
504,0.9941,0.0332,0.0359,0.1138,0.0175,0.2537,stationary_x_up
505,0.9938,0.0346,0.035,0.1925,0.0787,0.21,stationary_x_up
506,0.9945,0.0328,0.0356,0.1838,-0.0175,0.2362,stationary_x_up
507,0.9942,0.0335,0.0351,0.2537,0.0088,0.2188,stationary_x_up
508,0.9935,0.0339,0.0354,0.1575,0.0875,0.2713,stationary_x_up
509,0.9947,0.0332,0.0334,0.2188,0.0875,0.2362,stationary_x_up
510,0.9931,0.0356,0.0342,0.14,-0.0175,0.2975,stationary_x_up
511,0.9946,0.0337,0.0352,0.1488,0.0088,0.2362,stationary_x_up
512,0.9936,0.0346,0.0359,0.1575,0.0088,0.2362,stationary_x_up
513,0.9931,0.0342,0.0361,0.14,0.0175,0.2275,stationary_x_up
514,0.9947,0.0344,0.0359,0.0962,0.0613,0.21,stationary_x_up
515,0.9952,0.0336,0.0349,0.1838,0.0613,0.2713,stationary_x_up
516,0.9926,0.0347,0.0351,0.1575,0.0787,0.2537,stationary_x_up
517,0.9931,0.0341,0.0354,0.2188,0.0525,0.2275,stationary_x_up
518,0.995,0.0357,0.0346,0.1838,-0.0088,0.2013,stationary_x_up
519,0.9935,0.0337,0.0356,0.21,0.0262,0.2188,stationary_x_up
520,0.9938,0.0344,0.0361,0.2013,0.0088,0.245,stationary_x_up
521,0.9933,0.0349,0.0354,0.14,0.035,0.2188,stationary_x_up
522,0.9936,0.0334,0.0365,0.2013,0.0437,0.2275,stationary_x_up
523,0.9941,0.0334,0.0356,0.1575,-0.0088,0.2362,stationary_x_up
524,0.9935,0.0344,0.0359,0.1225,0.105,0.2362,stationary_x_up
525,0.9942,0.0345,0.0361,0.175,0.0525,0.2188,stationary_x_up
526,0.9936,0.0336,0.0356,0.1663,0.1312,0.2013,stationary_x_up
527,0.9941,0.0351,0.0354,0.14,0.1225,0.2188,stationary_x_up
528,0.9941,0.0344,0.0362,0.175,-0.0437,0.245,stationary_x_up
529,0.9928,0.0354,0.0356,0.1575,0.0525,0.2887,stationary_x_up
530,0.9948,0.0339,0.0357,0.1925,0.035,0.2625,stationary_x_up
531,0.9943,0.0345,0.0352,0.245,-0.0525,0.245,stationary_x_up
532,0.9933,0.0334,0.0364,0.14,0.1138,0.2275,stationary_x_up
533,0.9931,0.0346,0.0356,0.1838,0.035,0.1663,stationary_x_up
534,0.9945,0.0336,0.0359,0.2013,0.0437,0.2013,stationary_x_up
535,0.9933,0.0346,0.0354,0.1575,0,0.1925,stationary_x_up
536,0.9941,0.0329,0.0354,0.21,0.1225,0.1663,stationary_x_up
537,0.9941,0.0349,0.0348,0.1312,0.0525,0.2188,stationary_x_up
538,0.9938,0.032,0.0351,0.2013,0.1663,0.2713,stationary_x_up
539,0.9946,0.0344,0.0361,0.21,-0.0175,0.2275,stationary_x_up
540,0.9933,0.0346,0.0364,0.1225,0.0613,0.28,stationary_x_up
541,0.9936,0.0349,0.0344,0.0875,0.0262,0.2625,stationary_x_up
542,0.9933,0.0342,0.0351,0.1488,0.1225,0.21,stationary_x_up
543,0.994,0.0342,0.0361,0.1138,0.035,0.2625,stationary_x_up
544,0.9953,0.0336,0.0348,0.0875,0.1138,0.2188,stationary_x_up
545,0.9922,0.0339,0.0357,0.2362,0.07,0.2275,stationary_x_up
546,0.9948,0.034,0.0361,0.0875,-0.0262,0.1925,stationary_x_up
547,0.9944,0.0339,0.0353,0.1925,0.0262,0.245,stationary_x_up
548,0.9948,0.0348,0.0359,0.2625,0.1663,0.1925,stationary_x_up
549,0.9936,0.0335,0.0351,0.21,0.1138,0.2625,stationary_x_up
550,0.9957,0.0334,0.0354,0.0962,0.0875,0.21,stationary_x_up
551,0.9943,0.0339,0.0364,0.28,0.14,0.245,stationary_x_up
552,0.9928,0.0334,0.0363,0.1925,0.1225,0.1838,stationary_x_up
553,0.9941,0.0343,0.0354,0.2537,0.0613,0.1838,stationary_x_up
554,0.9931,0.0334,0.0362,0.2362,0.0875,0.1575,stationary_x_up
555,0.9935,0.0348,0.035,0.1925,0.0875,0.21,stationary_x_up
556,0.9945,0.0344,0.0352,0.0787,0.0262,0.2625,stationary_x_up
557,0.9955,0.0349,0.0359,0.1925,0,0.28,stationary_x_up
558,0.9948,0.0351,0.0349,0.1838,0.1488,0.2713,stationary_x_up
559,0.9957,0.0347,0.0342,0.2188,0.14,0.2625,stationary_x_up
560,0.9953,0.0339,0.0342,0.14,0.0525,0.2537,stationary_x_up
561,0.994,0.0337,0.0354,0.1225,0.1138,0.2188,stationary_x_up
562,0.9933,0.0335,0.0347,0.1138,0.105,0.2713,stationary_x_up
563,0.9942,0.034,0.0341,0.1925,-0.0175,0.2362,stationary_x_up
564,0.9939,0.0332,0.0354,0.1663,0.0175,0.21,stationary_x_up
565,0.9946,0.0342,0.0367,0.2275,0.105,0.2625,stationary_x_up
566,0.9928,0.0348,0.0361,0.1488,0.0437,0.2537,stationary_x_up
567,0.9944,0.0332,0.0354,0.0787,0.0437,0.2625,stationary_x_up
568,0.9933,0.0347,0.0354,0.0962,0.0613,0.2013,stationary_x_up
569,0.9931,0.0342,0.0358,0.14,0.0787,0.2275,stationary_x_up
570,0.9924,0.0346,0.0361,0.1838,0.1488,0.315,stationary_x_up
571,0.9933,0.0349,0.0354,0.21,0.0962,0.2975,stationary_x_up
572,0.9945,0.0351,0.035,0.1925,0.0875,0.2275,stationary_x_up
573,0.9958,0.0345,0.0359,0.1488,0.0175,0.1663,stationary_x_up
574,0.9945,0.0332,0.0346,0.3063,0.0262,0.2013,stationary_x_up
575,0.9934,0.0344,0.0357,0.1663,0.0175,0.2713,stationary_x_up
576,0.9919,0.0334,0.0357,0.1312,0.105,0.2887,stationary_x_up
577,0.9945,0.0337,0.0356,0.175,0.0175,0.2362,stationary_x_up
578,0.9911,0.0343,0.0366,0.0787,-0.035,0.245,stationary_x_up
579,0.9923,0.0324,0.0359,0.1925,0.0525,0.2188,stationary_x_up
580,0.9951,0.0329,0.0364,0.1488,0.0437,0.2537,stationary_x_up
581,0.9943,0.0339,0.0353,0.14,0.07,0.2188,stationary_x_up
582,0.9944,0.0348,0.0364,0.2625,0.0262,0.2975,stationary_x_up
583,0.9943,0.0331,0.0356,0.0613,0.035,0.2275,stationary_x_up
584,0.9923,0.0339,0.0337,0.2537,0.175,0.2275,stationary_x_up
585,0.9948,0.0339,0.0358,0.105,0.0613,0.2625,stationary_x_up
586,0.994,0.0337,0.0351,0.1575,0.0875,0.245,stationary_x_up
587,0.9938,0.0346,0.0364,0.175,-0.0175,0.2362,stationary_x_up
588,0.9921,0.0342,0.0354,0.14,0,0.3237,stationary_x_up
589,0.9924,0.0346,0.0361,0.3325,0.105,0.1663,stationary_x_up
590,0.9917,0.0337,0.0354,0.2275,-0.0175,0.2625,stationary_x_up
591,0.9931,0.0337,0.0351,0.1663,0.1575,0.2275,stationary_x_up
592,0.9931,0.0334,0.0359,0.1488,0.0262,0.245,stationary_x_up
593,0.9938,0.0334,0.0354,0.2188,0.0787,0.2362,stationary_x_up
594,0.9942,0.0354,0.0368,0.1488,0.0175,0.2013,stationary_x_up
595,0.9934,0.0339,0.0359,0.0962,-0.0437,0.2625,stationary_x_up
596,0.9948,0.035,0.0361,0.1838,0.0875,0.2275,stationary_x_up
597,0.9933,0.0342,0.0353,0.1488,0.0088,0.2537,stationary_x_up
598,0.9945,0.0339,0.0356,0.2188,0.0875,0.1838,stationary_x_up
599,0.9953,0.0337,0.0353,0.1488,0.035,0.245,stationary_x_up
600,0.9941,0.0343,0.0354,0.1138,0.0962,0.2362,stationary_x_up
601,0.9929,0.0335,0.0354,0.1225,0.0262,0.2713,stationary_x_up
602,0.9941,0.0327,0.0352,0.07,0.0437,0.2537,stationary_x_up
603,0.9938,0.0349,0.0364,0.2275,-0.0088,0.2013,stationary_x_up
604,0.995,0.0346,0.0346,0.1575,0.0175,0.2188,stationary_x_up
605,0.9931,0.0344,0.0353,0.1312,0.0613,0.2625,stationary_x_up
606,0.9952,0.0352,0.0354,0.0875,0.0525,0.2275,stationary_x_up
607,0.9955,0.0332,0.0349,0.0875,0.0262,0.2362,stationary_x_up
608,0.9945,0.0332,0.0368,0.105,-0.0088,0.3063,stationary_x_up
609,0.9936,0.0334,0.0357,0.1838,0.0525,0.2625,stationary_x_up
610,0.9938,0.0357,0.0356,0.2625,0.0525,0.2188,stationary_x_up
611,0.9938,0.0344,0.0356,0.21,0.105,0.28,stationary_x_up
612,0.9931,0.0339,0.0351,0.2537,0.14,0.21,stationary_x_up
613,0.9953,0.0337,0.0351,0.1925,0.0875,0.2188,stationary_x_up
614,0.9936,0.0344,0.0346,0.1312,0.0525,0.2713,stationary_x_up
615,0.9938,0.0349,0.0359,0.245,0.0437,0.2362,stationary_x_up
616,0.9945,0.0342,0.0349,0.0525,0.0088,0.2362,stationary_x_up
617,0.9951,0.0336,0.0361,0.1838,0.0613,0.2362,stationary_x_up
618,0.9936,0.0337,0.0358,0.1925,0.0525,0.2713,stationary_x_up
619,0.9938,0.0358,0.0364,0.1138,0,0.2362,stationary_x_up
620,0.994,0.0348,0.0363,0.21,0.0088,0.2362,stationary_x_up
621,0.9953,0.0341,0.0363,0.14,0.0175,0.2013,stationary_x_up
622,0.994,0.0339,0.0351,0.0962,0.0613,0.2537,stationary_x_up
623,0.9942,0.0346,0.0346,0.105,0.0437,0.2188,stationary_x_up
624,0.9938,0.0349,0.0365,0.2188,0.0437,0.2625,stationary_x_up
625,0.995,0.0358,0.0366,0.2362,0.0613,0.2013,stationary_x_up
626,0.994,0.035,0.0356,0.2013,0.0525,0.2625,stationary_x_up
627,0.9957,0.0334,0.0344,0.1663,0.0175,0.2537,stationary_x_up
628,0.9945,0.0354,0.0354,0.1312,0.0525,0.175,stationary_x_up
629,0.9943,0.034,0.0353,0.2013,0.0262,0.2975,stationary_x_up
630,0.9928,0.0337,0.0354,0.1575,0.175,0.2362,stationary_x_up
631,0.9929,0.0337,0.0359,0.1225,-0.0525,0.2275,stationary_x_up
632,0.9928,0.0346,0.0347,0.1663,0.0525,0.2362,stationary_x_up
633,0.9929,0.0342,0.0368,0.1663,0.0437,0.2362,stationary_x_up
634,0.995,0.0343,0.0349,0.21,0.0088,0.245,stationary_x_up
635,0.9933,0.0346,0.0349,0.21,0.0787,0.245,stationary_x_up
636,0.9944,0.0349,0.0352,0.1488,0.0525,0.2713,stationary_x_up
637,0.9936,0.0342,0.0351,0.1925,-0.0175,0.2188,stationary_x_up
638,0.9928,0.0352,0.0351,0.28,0.1663,0.175,stationary_x_up
639,0.9928,0.0342,0.0349,0.21,0.07,0.3413,stationary_x_up
640,0.9938,0.035,0.0364,0.1225,0.07,0.21,stationary_x_up
641,0.9951,0.0343,0.035,0.0262,0.2188,0.245,stationary_x_up
642,0.9946,0.0337,0.0344,0.14,0.105,0.21,stationary_x_up
643,0.9929,0.0347,0.0351,0.21,0.0525,0.175,stationary_x_up
644,0.9931,0.0339,0.0361,0.1225,0.035,0.1838,stationary_x_up
645,0.9946,0.0339,0.0354,0.1488,0.1138,0.175,stationary_x_up
646,0.9936,0.0334,0.0356,0.2275,0.1225,0.2188,stationary_x_up
647,0.9931,0.0335,0.0363,0.1488,0.0962,0.1575,stationary_x_up
648,0.9926,0.0323,0.0356,0.1138,0.0525,0.175,stationary_x_up
649,0.9933,0.0332,0.0361,0.1575,0.0175,0.2625,stationary_x_up
650,0.9948,0.035,0.0349,0.21,0.0088,0.2275,stationary_x_up
651,0.9934,0.0335,0.0347,0.1312,0.0525,0.2537,stationary_x_up
652,0.9933,0.0347,0.0352,0.245,0,0.245,stationary_x_up
653,0.9919,0.0337,0.0347,0.175,0.0962,0.2625,stationary_x_up
654,0.9955,0.034,0.0356,0.1838,0.035,0.1925,stationary_x_up
655,0.9926,0.0346,0.0356,0.2362,0.0875,0.2713,stationary_x_up
656,0.9933,0.0339,0.0348,0.1488,0.0437,0.2188,stationary_x_up
657,0.9935,0.0336,0.0359,0.1925,0.0962,0.2013,stationary_x_up
658,0.9927,0.0344,0.0344,0.105,0.0613,0.245,stationary_x_up
659,0.9953,0.0337,0.0364,0.1663,0.0613,0.1925,stationary_x_up
660,0.9945,0.0354,0.0359,0.2188,0.14,0.245,stationary_x_up
661,0.9931,0.0342,0.0348,0.14,0.07,0.2537,stationary_x_up
662,0.9945,0.0342,0.0351,0.0787,0.1488,0.2013,stationary_x_up
663,0.9939,0.0345,0.0339,0.175,0.035,0.2537,stationary_x_up
664,0.994,0.0329,0.034,0.0875,-0.0175,0.2275,stationary_x_up
665,0.9941,0.0337,0.0365,0.175,0.1488,0.1312,stationary_x_up
666,0.9938,0.0344,0.0361,0.1838,0.07,0.2713,stationary_x_up
667,0.9953,0.0341,0.0347,0.1575,0.1488,0.2275,stationary_x_up
668,0.9948,0.035,0.0334,0.1488,0.0962,0.21,stationary_x_up
669,0.9919,0.0341,0.0363,0.105,0.0088,0.245,stationary_x_up
670,0.9945,0.0346,0.0349,0.14,-0.0088,0.2013,stationary_x_up
671,0.9947,0.0348,0.0354,0.0962,-0.0262,0.1838,stationary_x_up
672,0.9916,0.0344,0.0354,0.1663,0.0525,0.2887,stationary_x_up
673,0.9947,0.0345,0.0366,0.1838,0.0088,0.245,stationary_x_up
674,0.9934,0.034,0.0346,0.2013,0.0613,0.28,stationary_x_up
675,0.9938,0.0332,0.0354,0.2013,0.07,0.245,stationary_x_up
676,0.9939,0.0331,0.0364,0.14,0.0175,0.3325,stationary_x_up
677,0.9919,0.0346,0.0359,0.0962,0.1138,0.2275,stationary_x_up
678,0.9945,0.0344,0.0354,0.21,0.0962,0.21,stationary_x_up
679,0.9935,0.0332,0.0346,0.105,0.07,0.2275,stationary_x_up
680,0.9934,0.0339,0.0359,0.14,0.1138,0.2713,stationary_x_up
681,0.9938,0.0337,0.035,0.1488,-0.0088,0.1925,stationary_x_up
682,0.9938,0.0345,0.0363,0.1488,0.07,0.2362,stationary_x_up
683,0.9938,0.0345,0.0359,0.21,0.105,0.2275,stationary_x_up
684,0.9945,0.0346,0.0358,0.14,0.07,0.2013,stationary_x_up
685,0.9938,0.0337,0.0351,0.245,0.0437,0.2537,stationary_x_up
686,0.9948,0.0336,0.0346,0.1925,0.0175,0.2188,stationary_x_up
687,0.993,0.0345,0.0358,0.0787,-0.0175,0.2275,stationary_x_up
688,0.9928,0.0342,0.0346,0.14,-0.0175,0.2013,stationary_x_up
689,0.9924,0.0334,0.0362,0.1925,0.0437,0.1838,stationary_x_up
690,0.9946,0.0343,0.0353,0.1575,-0.0262,0.2362,stationary_x_up
691,0.9943,0.0337,0.0356,0.1138,0.0962,0.21,stationary_x_up
692,0.9941,0.0337,0.0356,0.1312,-0.0088,0.1575,stationary_x_up
693,0.9945,0.0336,0.0359,0.2713,0.0437,0.28,stationary_x_up
694,0.9942,0.0356,0.0348,0.1312,0.1488,0.2013,stationary_x_up
695,0.9948,0.0332,0.0335,0.1488,0.105,0.28,stationary_x_up
696,0.9944,0.0337,0.0342,0.1663,0.0088,0.2887,stationary_x_up
697,0.9933,0.0342,0.0351,0.14,0.0962,0.245,stationary_x_up
