x_g,y_g,z_g,x_dps,y_dps,z_dps,orientation
80,-0.0361,0.0334,0.9943,0.2013,0.0437,0.2537,stationary_z_up
81,-0.0358,0.034,0.9936,0.1138,0.175,0.2013,stationary_z_up
82,-0.0353,0.0344,0.994,0.1575,0.07,0.2362,stationary_z_up
83,-0.0342,0.0337,0.9943,0.1925,0.1488,0.28,stationary_z_up
84,-0.0348,0.0332,0.995,0.1663,0.035,0.245,stationary_z_up
85,-0.0351,0.0348,0.9919,0.07,0.0875,0.2362,stationary_z_up
86,-0.0367,0.0336,0.9948,0.14,0.035,0.2188,stationary_z_up
87,-0.0348,0.0337,0.995,0.2013,0.105,0.2188,stationary_z_up
88,-0.0347,0.0337,0.9933,0.175,0.0613,0.2537,stationary_z_up
89,-0.0345,0.0346,0.9942,0.2362,0.105,0.1925,stationary_z_up
90,-0.0352,0.0341,0.9931,0.0962,0.035,0.2275,stationary_z_up
91,-0.0353,0.0344,0.9948,0.0875,0.0613,0.2362,stationary_z_up
92,-0.0357,0.035,0.9936,0.245,0.0175,0.2013,stationary_z_up
93,-0.0363,0.0345,0.9936,0.1925,0.035,0.2713,stationary_z_up
94,-0.0356,0.0339,0.9928,0.1838,0.07,0.2625,stationary_z_up
95,-0.0354,0.0348,0.9948,0.1225,0.1138,0.2537,stationary_z_up
96,-0.0345,0.0351,0.9948,0.2275,-0.0437,0.2013,stationary_z_up
97,-0.0364,0.0331,0.9944,0.1838,0.0525,0.2188,stationary_z_up
98,-0.0357,0.0344,0.9951,0.2013,0.0962,0.2013,stationary_z_up
99,-0.0368,0.033,0.9946,0.21,-0.0088,0.3237,stationary_z_up
100,-0.0352,0.0342,0.9926,0.21,0.0525,0.1925,stationary_z_up
101,-0.0361,0.0335,0.9944,0.175,0.0437,0.28,stationary_z_up
102,-0.0364,0.0344,0.9933,0.14,0.0787,0.28,stationary_z_up
103,-0.0359,0.0341,0.994,0.0962,-0.035,0.1838,stationary_z_up
104,-0.0359,0.0348,0.9933,0.2013,0.0262,0.2013,stationary_z_up
105,-0.0354,0.0342,0.9939,0.1575,0.105,0.2537,stationary_z_up
106,-0.0359,0.0342,0.9928,0.2013,0.0525,0.2275,stationary_z_up
107,-0.0359,0.0351,0.993,0.1925,0.0525,0.2887,stationary_z_up
108,-0.0344,0.0337,0.9944,0.1663,0.0613,0.1838,stationary_z_up
109,-0.0349,0.0346,0.995,0.2188,0.07,0.2362,stationary_z_up
110,-0.0371,0.0349,0.9947,0.2275,0.0088,0.2975,stationary_z_up
111,-0.0358,0.0329,0.9935,0.21,0.0088,0.2537,stationary_z_up
112,-0.0354,0.0344,0.9936,0.21,-0.0088,0.2188,stationary_z_up
113,-0.0359,0.0332,0.9941,0.1138,0.0175,0.2537,stationary_z_up
114,-0.035,0.0346,0.9938,0.1925,0.0787,0.21,stationary_z_up
115,-0.0356,0.0328,0.9945,0.1838,-0.0175,0.2362,stationary_z_up
116,-0.0351,0.0335,0.9942,0.2537,0.0088,0.2188,stationary_z_up
117,-0.0354,0.0339,0.9935,0.1575,0.0875,0.2713,stationary_z_up
118,-0.0334,0.0332,0.9947,0.2188,0.0875,0.2362,stationary_z_up
119,-0.0342,0.0356,0.9931,0.14,-0.0175,0.2975,stationary_z_up
120,-0.0352,0.0337,0.9946,0.1488,0.0088,0.2362,stationary_z_up
121,-0.0359,0.0346,0.9936,0.1575,0.0088,0.2362,stationary_z_up
122,-0.0361,0.0342,0.9931,0.14,0.0175,0.2275,stationary_z_up
123,-0.0359,0.0344,0.9947,0.0962,0.0613,0.21,stationary_z_up
