,timestamp,a_x,a_y,a_z,dps_x,dps_y,dps_z,pressure,target,time_sec,segment_time_sec,segment_id
54,950462,0.3734,0.0512,1.0313,1.9863,-1.5137,0.8313,1001.2856,hard_decel,12.12,3.24,0
55,950522,0.3308,0.0673,0.9751,0.56,1.75,0.28,1001.2756,hard_decel,12.18,3.3,0
56,950582,0.4426,0.1055,1.1453,1.0762,1.2862,0.2975,1001.2844,hard_decel,12.24,3.36,0
57,950642,0.404,0.1337,1.1558,-0.3063,1.7675,0.5163,1001.3176,hard_decel,12.3,3.42,0
58,950702,0.3823,-0.0215,0.9542,0.1663,0.875,0.735,1001.2957,hard_decel,12.36,3.48,0
59,950762,0.3923,-0.0609,1.0133,1.1463,0.5337,0.7437,1001.3149,hard_decel,12.42,3.54,0
60,950822,0.3578,0.0371,1.0013,-0.28,-1.4612,-0.1138,1001.323,hard_decel,12.48,3.6,0
61,950882,0.335,0.0783,0.9712,2.2225,-0.84,0.1575,1001.3291,hard_decel,12.54,3.66,0
62,950942,0.3706,0.0594,0.965,2.555,0.4288,0.0,1001.3391,hard_decel,12.6,3.72,0
63,951002,0.3709,0.0673,1.0487,0.9975,1.2513,0.2013,1001.3315,hard_decel,12.66,3.78,0
64,951062,0.3584,0.0221,1.0199,-0.3413,-1.015,0.5163,1001.325,hard_decel,12.72,3.84,0
65,951122,0.3629,0.0872,0.9968,-0.4462,-1.2513,0.4638,1001.3591,hard_decel,12.78,3.9,0
66,951182,0.3587,0.0803,0.9765,1.4262,-0.9013,0.245,1001.3625,hard_decel,12.84,3.96,0
67,951242,0.3274,-0.0496,0.9052,1.1025,-0.7175,0.0962,1001.345,hard_decel,12.9,4.02,0
68,951302,0.3734,0.054,1.0575,0.8487,0.7613,0.35,1001.3452,hard_decel,12.96,4.08,0
69,951362,0.357,0.0861,1.0541,-1.4175,-0.4025,0.6037,1001.332,hard_decel,13.02,4.14,0
70,951422,0.3038,0.0418,0.9704,-0.5425,1.855,0.805,1001.356,hard_decel,13.08,4.2,0
71,951482,0.2928,0.0625,1.0409,1.3388,0.5775,0.21,1001.3464,hard_decel,13.14,4.26,0
72,951542,0.2585,0.0188,0.909,0.7613,0.0525,0.2188,1001.3486,hard_decel,13.2,4.32,0
73,951602,0.3055,0.0124,0.9464,0.735,0.3762,0.0262,1001.3418,hard_decel,13.26,4.38,0
74,951662,0.3192,0.1052,1.0438,0.665,1.3737,0.4988,1001.3623,hard_decel,13.32,4.44,0
