index,timestamp,a_x,a_y,a_z,dps_x,dps_y,dps_z,pressure,target,segment_id,time_sec,segment_time_sec
51,3350402,0.0168,0.0099,0.9902,0.2013,0.0437,0.2537,1000.3318,smooth_accel_decel,0,3.06,3.06
52,3350462,0.0188,0.0093,0.9946,0.2188,-0.0175,0.2013,1000.3198,smooth_accel_decel,0,3.12,3.12
53,3350522,0.018,0.0115,0.9955,0.3063,0.1225,0.1925,1000.3228,smooth_accel_decel,0,3.18,3.18
54,3350582,0.0193,0.0078,0.9975,0.3413,0.1575,0.1925,1000.3254,smooth_accel_decel,0,3.24,3.24
55,3350642,0.0253,0.0093,0.9914,0.2537,-0.035,0.0962,1000.3281,smooth_accel_decel,0,3.3,3.3
56,3350702,0.0154,0.0054,0.9867,0.1575,-0.0875,0.21,1000.3223,smooth_accel_decel,0,3.36,3.36
57,3350762,0.0113,0.0154,0.9945,0.21,0.0525,0.1312,1000.3313,smooth_accel_decel,0,3.42,3.42
58,3350822,-0.0112,0.0106,0.9426,-0.3762,1.0237,0.1488,1000.3213,smooth_accel_decel,0,3.48,3.48
59,3350882,0.0212,0.0054,1.0333,0.735,-0.0962,0.1663,1000.3286,smooth_accel_decel,0,3.54,3.54
60,3350942,0.0063,0.0051,0.9668,-0.0088,0.245,0.07,1000.3254,smooth_accel_decel,0,3.6,3.6
61,3351002,-0.0108,0.0044,0.996,0.2362,0.49,0.1312,1000.3123,smooth_accel_decel,0,3.66,3.66
62,3351062,-0.031,0.0134,1.0053,0.315,0.7262,0.2537,1000.3291,smooth_accel_decel,0,3.72,3.72
63,3351122,-0.0564,0.0156,1.0013,0.3325,0.7875,0.1663,1000.3342,smooth_accel_decel,0,3.78,3.78
64,3351182,-0.0671,0.0112,0.9992,0.455,0.7437,0.1138,1000.3145,smooth_accel_decel,0,3.84,3.84
65,3351242,-0.0816,0.0129,1.0002,0.4725,0.7,0.0525,1000.332,smooth_accel_decel,0,3.9,3.9
66,3351302,-0.0938,0.0207,1.003,0.4375,0.7088,0.1138,1000.3208,smooth_accel_decel,0,3.96,3.96
67,3351362,-0.1042,0.0129,1.0008,0.4988,0.7788,0.1225,1000.3308,smooth_accel_decel,0,4.02,4.02
68,3351422,-0.1259,0.0163,0.9864,0.4375,0.6475,0.1138,1000.3147,smooth_accel_decel,0,4.08,4.08
69,3351482,-0.1346,0.0224,1.006,0.6212,0.5775,0.2188,1000.3284,smooth_accel_decel,0,4.14,4.14
70,3351542,-0.1455,0.0208,0.986,0.5163,0.4725,0.1488,1000.3223,smooth_accel_decel,0,4.2,4.2
71,3351602,-0.1587,0.0181,0.9783,0.2887,0.98,0.2013,1000.3154,smooth_accel_decel,0,4.26,4.26
72,3351662,-0.1615,0.0493,0.9507,0.7525,1.3388,0.0088,1000.3203,smooth_accel_decel,0,4.32,4.32
73,3351722,-0.0898,-0.0666,1.129,0.0175,-1.4438,0.2625,1000.3152,smooth_accel_decel,0,4.38,4.38
74,3351782,-0.1587,0.055,0.9645,0.7262,0.1663,0.0262,1000.3235,smooth_accel_decel,0,4.44,4.44
75,3351842,-0.1594,0.0107,0.9884,-0.5425,0.0437,0.1663,1000.312,smooth_accel_decel,0,4.5,4.5
76,3351902,-0.1376,0.0193,0.9997,-0.14,0.105,0.3413,1000.313,smooth_accel_decel,0,4.56,4.56
77,3351962,-0.1501,0.009,1.0056,-0.245,0.5337,0.3675,1000.3157,smooth_accel_decel,0,4.62,4.62
78,3352022,-0.157,0.0095,0.9897,0.7262,0.3413,-0.0262,1000.3071,smooth_accel_decel,0,4.68,4.68
79,3352082,-0.1467,0.0117,0.982,0.4375,0.1225,0.14,1000.3057,smooth_accel_decel,0,4.74,4.74
80,3352142,-0.1481,0.0371,1.0038,0.7175,0.42,0.4112,1000.3054,smooth_accel_decel,0,4.8,4.8
81,3352202,-0.1457,0.042,0.9959,1.1113,0.3675,0.385,1000.3093,smooth_accel_decel,0,4.86,4.86
82,3352262,-0.1607,0.0053,0.9901,-0.21,0.2975,0.3063,1000.3042,smooth_accel_decel,0,4.92,4.92
83,3352322,-0.1662,0.038,0.9929,-0.0175,-0.2188,0.14,1000.2996,smooth_accel_decel,0,4.98,4.98
84,3352382,-0.1543,-0.0066,0.9899,0.175,-0.0437,0.07,1000.3093,smooth_accel_decel,0,5.04,5.04
85,3352442,-0.1385,0.0217,0.9814,0.6825,-0.21,0.0962,1000.2969,smooth_accel_decel,0,5.1,5.1
