index,timestamp,a_x,a_y,a_z,dps_x,dps_y,dps_z,pressure,target,time_sec
56,4323422,0.0459,-0.0027,1.0108,1.47,-0.175,0.14,996.582,smooth_constant_speed,3.36
57,4323482,0.0112,-0.02,1.1322,-0.3938,1.785,0.4638,996.5737,smooth_constant_speed,3.42
58,4323542,0.0798,0.0649,1.0968,2.0387,1.715,-0.3675,996.5371,smooth_constant_speed,3.48
59,4323602,0.0295,-0.0611,0.9961,0.8487,-0.2362,0.0875,996.6389,smooth_constant_speed,3.54
60,4323662,-0.022,-0.02,1.0005,0.1838,1.9075,0.3938,996.6812,smooth_constant_speed,3.6
61,4323722,-0.0181,0.0615,0.9282,0.1488,-2.2575,-0.0437,996.7795,smooth_constant_speed,3.66
62,4323782,0.0549,0.0037,1.0596,1.0938,-1.1988,0.07,996.8279,smooth_constant_speed,3.72
63,4323842,0.043,-0.0164,1.0648,-0.6562,3.7887,0.5688,996.7515,smooth_constant_speed,3.78
64,4323902,0.0205,-0.0264,0.9516,0.6737,0.28,-0.0088,996.7344,smooth_constant_speed,3.84
65,4323962,0.019,-0.0337,0.984,0.945,0.0262,0.14,996.7283,smooth_constant_speed,3.9
66,4324022,-0.0578,-0.1166,0.8663,-0.6913,-0.14,0.4025,996.7275,smooth_constant_speed,3.96
67,4324082,0.0018,0.0412,1.0045,0.6037,1.7675,-0.2975,996.7517,smooth_constant_speed,4.02
68,4324142,0.07,0.0556,0.9843,1.5225,2.695,-0.4988,996.7075,smooth_constant_speed,4.08
69,4324202,0.0271,-0.0339,1.0441,0.6212,-0.3675,0.6562,996.6316,smooth_constant_speed,4.14
70,4324262,-0.0215,0.018,0.9289,0.6475,-1.715,-0.175,996.7104,smooth_constant_speed,4.2
71,4324322,0.1175,-0.0049,1.0921,1.995,0.1225,0.1575,996.7041,smooth_constant_speed,4.26
72,4324382,-0.012,-0.0344,0.8084,0.1488,-1.2687,0.4025,996.7395,smooth_constant_speed,4.32
73,4324442,0.0287,0.0241,0.986,-1.19,-1.9512,0.14,996.738,smooth_constant_speed,4.38
74,4324502,0.0303,0.0608,1.0659,0.8225,0.9275,-0.4025,996.6824,smooth_constant_speed,4.44
75,4324562,0.0239,-0.0389,1.066,-0.595,1.54,0.455,996.6978,smooth_constant_speed,4.5
76,4324622,0.0192,0.0902,1.0155,-0.1488,-1.5137,0.1575,996.6865,smooth_constant_speed,4.56
77,4324682,0.0549,0.059,1.0879,0.7262,1.2075,-0.1488,996.6318,smooth_constant_speed,4.62
78,4324742,-0.0044,-0.1241,0.9286,0.0613,-0.6737,0.7,996.6885,smooth_constant_speed,4.68
79,4324802,-0.02,0.0325,0.9362,-1.5925,-0.5075,0.4288,996.7788,smooth_constant_speed,4.74
80,4324862,0.0037,0.0656,0.9883,1.6537,1.89,-0.0962,996.7913,smooth_constant_speed,4.8
81,4324922,0.0221,0.0031,0.9804,0.0088,-0.9887,0.6562,996.8296,smooth_constant_speed,4.86
82,4324982,0.0078,0.0264,0.9748,-0.9887,-2.4062,0.3413,996.7642,smooth_constant_speed,4.92
83,4325042,0.0414,0.0559,1.1186,1.8813,3.8675,-0.3675,996.7563,smooth_constant_speed,4.98
84,4325102,-0.0246,-0.0564,0.8696,-0.4462,0.3325,0.1663,996.5447,smooth_constant_speed,5.04
85,4325162,-0.1041,0.0161,0.6783,-1.5662,-4.9088,0.245,996.5854,smooth_constant_speed,5.1
86,4325222,0.0339,0.0502,1.0591,1.4438,0.14,-0.315,996.5427,smooth_constant_speed,5.16
87,4325282,0.0012,-0.0337,1.0314,0.5775,0.49,0.1488,996.4854,smooth_constant_speed,5.22
88,4325342,0.0203,-0.0605,0.8969,-0.7262,1.9075,0.5075,996.4836,smooth_constant_speed,5.28
89,4325402,0.0188,0.1049,0.9409,-1.4088,1.96,-0.3675,996.3699,smooth_constant_speed,5.34
90,4325462,-0.0364,-0.1122,0.8015,-0.9887,-4.8562,0.2887,996.3933,smooth_constant_speed,5.4
91,4325522,0.0074,-0.0295,0.8576,-1.7675,-2.3363,0.2362,996.3811,smooth_constant_speed,5.46
92,4325582,-0.0312,0.0764,0.9109,-0.4725,2.87,-0.385,996.2688,smooth_constant_speed,5.52
93,4325642,0.0315,-0.0102,0.9562,-0.7,-0.14,-0.035,996.3672,smooth_constant_speed,5.58
94,4325702,0.059,0.0324,0.9662,-1.8288,-0.6388,0.105,996.4216,smooth_constant_speed,5.64
95,4325762,-0.0466,0.0297,1.0207,0.0262,1.9075,-0.4462,996.3213,smooth_constant_speed,5.7
96,4325822,0.029,-0.0632,0.9101,0.8575,-1.9075,0.0962,996.219,smooth_constant_speed,5.76
97,4325882,0.0078,0.0234,0.9545,-1.3563,-4.41,0.315,996.2236,smooth_constant_speed,5.82
98,4325942,0.0383,0.0398,1.1871,1.1725,-0.1225,-0.07,996.3638,smooth_constant_speed,5.88
99,4326002,0.0288,-0.0215,1.0382,1.05,0.5863,-0.1575,996.3633,smooth_constant_speed,5.94
100,4326062,0.0084,0.0332,1.1087,-0.9275,2.6862,0.35,996.416,smooth_constant_speed,6.0
101,4326122,-0.0454,0.0602,0.8664,-0.0525,1.5662,-0.3762,996.3494,smooth_constant_speed,6.06
102,4326182,0.0016,-0.072,0.8089,-0.035,-5.1013,-0.1225,996.3154,smooth_constant_speed,6.12
103,4326242,0.0376,-0.0634,1.1137,0.385,1.1725,0.2013,996.3757,smooth_constant_speed,6.18
104,4326302,0.0379,0.0778,1.0939,1.3212,2.9925,0.0875,996.3633,smooth_constant_speed,6.24
105,4326362,-0.0175,0.0166,0.9138,0.6125,-1.3388,-0.3938,996.2363,smooth_constant_speed,6.3
106,4326422,0.0017,-0.0298,1.0363,-0.2013,1.8813,0.3762,996.2412,smooth_constant_speed,6.36
107,4326482,-0.0342,-0.0049,0.8284,0.0088,-0.875,-0.3938,996.3071,smooth_constant_speed,6.42
108,4326542,0.0941,0.0063,1.0643,0.6825,-2.2838,0.0962,996.3008,smooth_constant_speed,6.48
109,4326602,0.04,-0.0236,1.0419,-0.3587,3.0887,0.35,996.2834,smooth_constant_speed,6.54
110,4326662,0.0088,0.0791,1.0474,-2.0738,3.22,-0.21,996.3188,smooth_constant_speed,6.6
111,4326722,0.0395,0.0361,1.166,1.9338,2.2925,-0.3413,996.3604,smooth_constant_speed,6.66
112,4326782,0.0161,-0.0166,0.9964,-1.7062,2.7387,0.2975,996.5806,smooth_constant_speed,6.72
113,4326842,-0.0429,-0.0127,0.9223,0.1575,1.96,-0.2013,996.5884,smooth_constant_speed,6.78
114,4326902,0.0302,0.0286,1.0929,1.61,-4.2438,0.315,996.5986,smooth_constant_speed,6.84
115,4326962,0.0639,-0.0424,1.1635,0.385,1.47,0.6125,996.646,smooth_constant_speed,6.9
116,4327022,-0.012,0.05,1.0385,-0.6737,2.9662,-0.0175,996.7039,smooth_constant_speed,6.96
117,4327082,-0.0054,0.0427,0.8221,0.6388,1.2337,-0.0875,996.7039,smooth_constant_speed,7.02
118,4327142,-0.0268,-0.1237,0.8301,-2.3275,1.295,0.6562,996.657,smooth_constant_speed,7.08
119,4327202,-0.0644,-0.039,0.8792,0.3413,-0.56,-0.1225,996.6189,smooth_constant_speed,7.14
120,4327262,0.0735,-0.0112,1.0932,2.065,0.7788,0.1312,996.5923,smooth_constant_speed,7.2
121,4327322,0.0204,-0.0659,1.0285,-0.77,2.8175,0.0875,996.6172,smooth_constant_speed,7.26
122,4327382,-0.0405,0.0215,0.8886,-1.3475,1.4787,0.3762,996.6782,smooth_constant_speed,7.32
123,4327442,0.0173,0.0127,0.9667,1.085,1.7675,-0.2975,996.7139,smooth_constant_speed,7.38
124,4327502,-0.0052,-0.0985,0.9094,-0.175,0.07,0.4812,996.6855,smooth_constant_speed,7.44
125,4327562,-0.0517,-0.0123,0.9872,0.2275,-0.8225,0.1138,996.6692,smooth_constant_speed,7.5
126,4327622,0.0825,0.0095,1.0419,1.47,-1.9512,0.1225,996.6667,smooth_constant_speed,7.56
127,4327682,0.0496,-0.0293,1.1143,0.0088,-0.2975,0.6388,996.7229,smooth_constant_speed,7.62
128,4327742,-0.0375,0.0125,0.9267,-0.6125,1.8987,0.2975,996.7075,smooth_constant_speed,7.68
129,4327802,-0.0132,0.0102,0.8359,1.1287,2.0563,-0.105,996.7263,smooth_constant_speed,7.74
130,4327862,-0.0342,-0.0526,0.8959,-0.3587,0.3587,0.7613,996.7222,smooth_constant_speed,7.8
131,4327922,0.0129,0.007,1.0006,-0.6737,-0.9887,0.2275,996.6936,smooth_constant_speed,7.86
132,4327982,0.1008,0.0559,1.158,2.1175,-1.19,0.2362,996.6348,smooth_constant_speed,7.92
133,4328042,-0.0528,-0.081,0.9309,-0.1225,5.285,0.3938,996.5632,smooth_constant_speed,7.98
134,4328102,-0.0454,-0.0479,0.7749,-1.7675,-1.68,0.4462,996.6067,smooth_constant_speed,8.04
135,4328162,-0.018,-0.0401,1.0009,1.7062,-3.6225,0.1925,996.6257,smooth_constant_speed,8.1
136,4328222,0.0018,-0.108,1.076,-1.015,3.36,0.4988,996.6533,smooth_constant_speed,8.16
137,4328282,0.0366,0.0171,0.9704,1.225,-2.9662,0.2188,996.5359,smooth_constant_speed,8.22
138,4328342,0.0778,0.0606,0.9801,2.0125,-3.535,-0.0437,996.49,smooth_constant_speed,8.28
139,4328402,0.0056,-0.0815,0.9378,-0.5512,-0.7962,0.2362,996.5571,smooth_constant_speed,8.34
140,4328462,0.0163,0.0315,1.0514,-0.945,-0.2188,0.3063,996.5869,smooth_constant_speed,8.4
141,4328522,0.0671,0.0556,1.0155,1.6187,0.9712,-0.1138,996.5989,smooth_constant_speed,8.46
142,4328582,-0.0002,-0.1569,0.9858,0.245,0.0613,0.5337,996.5928,smooth_constant_speed,8.52
143,4328642,0.0283,-0.0054,1.0091,-0.6913,-2.3363,0.3063,996.5925,smooth_constant_speed,8.58
144,4328702,0.1078,0.121,1.2363,1.9425,-0.3325,-0.07,996.6406,smooth_constant_speed,8.64
145,4328762,0.0007,-0.0886,0.9719,0.7262,2.1,0.1312,996.6335,smooth_constant_speed,8.7
146,4328822,-0.0444,-0.0351,0.8869,-0.4462,-0.945,0.3675,996.6699,smooth_constant_speed,8.76
147,4328882,0.0144,0.0522,0.9023,1.5575,-1.6275,0.175,996.6982,smooth_constant_speed,8.82
148,4328942,0.0228,-0.0788,1.1028,0.91,-0.1925,0.3413,996.738,smooth_constant_speed,8.88
149,4329002,0.0505,0.0425,1.1301,1.1812,2.6075,0.245,996.7024,smooth_constant_speed,8.94
150,4329062,0.0375,0.0274,0.9885,0.385,0.42,0.315,996.676,smooth_constant_speed,9.0
151,4329122,0.0009,-0.0881,1.0604,1.505,0.8313,0.4988,996.8323,smooth_constant_speed,9.06
152,4329182,-0.0431,-0.0167,0.8957,-1.085,-0.35,0.35,996.781,smooth_constant_speed,9.12
153,4329242,0.0617,0.0813,1.1675,1.4612,0.5337,0.385,996.6792,smooth_constant_speed,9.18
154,4329302,0.0261,-0.0642,1.1976,0.4988,4.48,1.0412,996.6853,smooth_constant_speed,9.24
155,4329362,-0.0478,-0.0159,0.876,-1.295,-2.5375,0.735,996.5818,smooth_constant_speed,9.3
156,4329422,0.0684,-0.0186,0.9981,0.6125,0.35,0.4112,996.5107,smooth_constant_speed,9.36
157,4329482,-0.0066,-0.1257,1.0553,0.2713,1.61,0.665,996.4932,smooth_constant_speed,9.42
158,4329542,-0.0361,-0.079,0.8175,-1.5137,-1.225,0.8838,996.3879,smooth_constant_speed,9.48
159,4329602,0.0928,0.06,1.0809,0.84,-3.5612,0.315,996.3755,smooth_constant_speed,9.54
160,4329662,-0.0432,-0.0846,0.9604,1.6712,0.0,0.4725,996.3936,smooth_constant_speed,9.6
161,4329722,0.0436,0.0049,1.0096,0.4288,0.0262,0.4375,996.4014,smooth_constant_speed,9.66
162,4329782,0.0212,-0.0154,1.0594,0.7,1.19,0.595,996.2327,smooth_constant_speed,9.72
163,4329842,0.0734,-0.0517,1.2235,0.3762,0.1663,1.1463,996.175,smooth_constant_speed,9.78
164,4329902,0.0083,-0.0145,0.9382,-0.5337,-4.0425,0.6737,996.2952,smooth_constant_speed,9.84
165,4329962,0.0566,0.1833,1.1778,0.8225,1.9338,1.2775,996.4863,smooth_constant_speed,9.9
166,4330022,0.0959,0.051,1.3215,-1.75,5.95,0.455,996.447,smooth_constant_speed,9.96
167,4330082,-0.0332,-0.0473,0.751,-1.9425,-2.3012,0.6737,996.4226,smooth_constant_speed,10.02
168,4330142,0.0566,0.0378,1.143,-0.21,1.0063,-0.1312,996.5039,smooth_constant_speed,10.08
169,4330202,-0.0026,-0.1793,0.9295,-0.7875,2.59,0.7175,996.3564,smooth_constant_speed,10.14
170,4330262,0.0224,-0.0364,1.1685,-0.105,1.2337,1.4875,996.3582,smooth_constant_speed,10.2
171,4330322,-0.0366,0.0278,0.8472,1.5575,-3.8588,0.4462,996.4429,smooth_constant_speed,10.26
172,4330382,-0.0578,-0.0961,0.743,-2.6862,-1.8288,0.0262,996.5491,smooth_constant_speed,10.32
173,4330442,0.0742,-0.0666,0.9557,-1.3737,-4.9,0.9538,996.5139,smooth_constant_speed,10.38
174,4330502,0.0478,-0.0164,0.9963,0.2975,-0.7,0.0525,996.5312,smooth_constant_speed,10.44
175,4330562,0.0578,-0.2457,0.917,-1.4088,1.7763,0.0875,996.4683,smooth_constant_speed,10.5
176,4330622,0.02,0.0041,0.9801,-0.6737,-2.38,0.8925,996.5547,smooth_constant_speed,10.56
177,4330682,0.0927,0.0309,1.2668,1.4612,0.0613,0.6475,996.6135,smooth_constant_speed,10.62
178,4330742,-0.0781,-0.0509,0.9223,2.1613,5.3812,-0.245,996.5181,smooth_constant_speed,10.68
179,4330802,-0.0108,0.0268,0.7745,0.8838,-1.6013,0.49,996.5615,smooth_constant_speed,10.74
180,4330862,0.065,0.0032,0.923,-0.56,-1.3825,-0.3762,996.5625,smooth_constant_speed,10.8
181,4330922,0.0771,-0.0905,1.0024,2.065,4.585,-0.35,996.5923,smooth_constant_speed,10.86
182,4330982,0.055,0.0188,1.1258,1.0412,1.5575,0.455,996.5706,smooth_constant_speed,10.92
183,4331042,0.1271,0.1028,1.1199,2.6512,-1.33,0.42,996.4976,smooth_constant_speed,10.98
184,4331102,0.0328,0.0708,1.0978,0.6125,1.435,0.0262,996.5034,smooth_constant_speed,11.04
185,4331162,-0.0183,-0.0728,0.7824,-2.5725,0.0437,0.3237,996.5002,smooth_constant_speed,11.1
186,4331222,-0.0148,0.0318,0.8421,-2.3012,0.5425,-0.2537,996.5518,smooth_constant_speed,11.16
187,4331282,-0.0619,-0.1884,0.8745,-0.8925,-0.385,0.1138,996.4954,smooth_constant_speed,11.22
188,4331342,0.0475,-0.0243,1.089,0.7525,0.4112,0.0875,996.5625,smooth_constant_speed,11.28
189,4331402,0.087,0.019,1.048,0.455,-1.3125,0.1138,996.5684,smooth_constant_speed,11.34
190,4331462,0.0267,-0.0354,1.0114,2.0825,-0.1575,-0.0088,996.4863,smooth_constant_speed,11.4
191,4331522,-0.0063,-0.042,0.6786,1.3825,1.33,0.49,996.5562,smooth_constant_speed,11.46
192,4331582,0.0317,0.1269,1.0011,1.54,-0.9712,-0.0962,996.4822,smooth_constant_speed,11.52
193,4331642,0.0592,-0.0137,1.1264,0.9712,1.6275,-0.0962,996.4771,smooth_constant_speed,11.58
194,4331702,0.0534,-0.0935,1.1197,-1.925,-1.7413,1.0938,996.4863,smooth_constant_speed,11.64
195,4331762,0.043,0.0533,1.0309,-0.42,-1.1725,0.7,996.4666,smooth_constant_speed,11.7
196,4331822,0.1179,0.0108,1.1014,1.785,5.5825,0.035,996.4866,smooth_constant_speed,11.76
197,4331882,0.0013,-0.0439,0.9098,-0.49,0.2975,0.28,996.5503,smooth_constant_speed,11.82
198,4331942,-0.0181,-0.0671,0.8868,-0.2275,1.1988,0.2362,996.5557,smooth_constant_speed,11.88
199,4332002,0.0598,-0.0307,1.1275,0.735,-0.6737,0.1138,996.5305,smooth_constant_speed,11.94
200,4332062,0.0281,0.0073,1.0265,-0.4812,3.6488,0.2713,996.4683,smooth_constant_speed,12.0
201,4332122,0.0676,0.0078,1.0496,0.77,-0.8487,-0.0525,996.4827,smooth_constant_speed,12.06
202,4332182,0.0339,0.0406,1.0363,-1.5137,1.9688,-0.1138,996.5579,smooth_constant_speed,12.12
203,4332242,-0.0698,-0.092,0.8434,-1.8987,-2.8,1.015,996.5957,smooth_constant_speed,12.18
204,4332302,-0.0498,-0.0662,0.9084,1.1287,2.5725,-0.1663,996.6155,smooth_constant_speed,12.24
205,4332362,0.0412,-0.0239,0.9579,0.4725,-1.0588,0.6562,996.6436,smooth_constant_speed,12.3
206,4332422,0.0347,-0.1191,0.9345,-3.08,1.0325,0.8575,996.6997,smooth_constant_speed,12.36
207,4332482,-0.0977,0.0156,0.6171,-0.8838,-5.9675,0.315,996.7073,smooth_constant_speed,12.42
208,4332542,0.0381,-0.001,0.9889,1.0237,0.63,0.1488,996.6479,smooth_constant_speed,12.48
209,4332602,0.088,-0.081,1.221,0.455,0.4812,0.875,996.6123,smooth_constant_speed,12.54
210,4332662,-0.0103,-0.0263,0.8211,0.8138,-3.0625,-0.2713,996.5952,smooth_constant_speed,12.6
211,4332722,0.0156,-0.1058,1.089,2.0738,-1.7413,-0.2537,996.645,smooth_constant_speed,12.66
212,4332782,0.0884,-0.0304,1.2203,2.66,1.7763,0.1488,996.7388,smooth_constant_speed,12.72
213,4332842,0.0258,0.1471,1.0001,1.1812,-1.155,0.0175,996.7571,smooth_constant_speed,12.78
214,4332902,0.082,0.0082,0.96,0.3675,1.4088,-0.4638,996.7351,smooth_constant_speed,12.84
215,4332962,0.0018,0.0134,0.9077,-0.7788,3.5963,0.56,996.7664,smooth_constant_speed,12.9
216,4333022,-0.0996,0.0892,0.9947,-0.7088,-2.3975,0.5688,996.7083,smooth_constant_speed,12.96
217,4333082,0.0568,-0.1356,1.0824,-0.4812,1.3825,0.4025,996.5715,smooth_constant_speed,13.02
218,4333142,0.0066,-0.1005,0.9799,0.6212,1.8637,0.5775,996.5022,smooth_constant_speed,13.08
219,4333202,0.0385,0.1132,0.9655,1.7938,-2.4237,0.1138,996.4988,smooth_constant_speed,13.14
220,4333262,0.0228,-0.0637,1.0024,-0.0525,0.3325,-0.385,996.3962,smooth_constant_speed,13.2
221,4333322,0.0595,0.0149,1.0626,0.5163,0.0175,0.7088,996.4414,smooth_constant_speed,13.26
222,4333382,0.0427,0.0046,1.0397,2.065,2.0387,0.2188,996.5908,smooth_constant_speed,13.32
223,4333442,0.0061,-0.0831,0.8442,-0.805,-2.2313,0.07,996.6511,smooth_constant_speed,13.38
224,4333502,0.0551,-0.0445,1.0233,0.735,-3.7275,0.49,996.6033,smooth_constant_speed,13.44
225,4333562,-0.0703,0.0625,0.9081,-0.0262,-0.035,0.2275,996.4485,smooth_constant_speed,13.5
226,4333622,0.1037,-0.003,1.1783,0.245,2.5025,-0.1488,996.4343,smooth_constant_speed,13.56
227,4333682,0.0917,0.0081,1.1117,0.2887,3.29,0.8313,996.4138,smooth_constant_speed,13.62
228,4333742,0.0112,0.0995,1.0809,0.7437,-0.6737,0.28,996.4009,smooth_constant_speed,13.68
229,4333802,0.0122,-0.1236,0.9555,0.07,-1.5838,-0.2188,996.4194,smooth_constant_speed,13.74
230,4333862,0.0205,-0.0386,1.1351,-0.315,1.295,0.1225,996.3721,smooth_constant_speed,13.8
231,4333922,-0.0124,-0.002,1.0865,0.1488,5.7137,0.2362,996.4128,smooth_constant_speed,13.86
232,4333982,0.0409,-0.1124,0.9581,1.715,-0.9187,0.0175,996.4414,smooth_constant_speed,13.92
233,4334042,0.0246,0.0354,1.0228,-0.0875,-0.0088,0.2713,996.4092,smooth_constant_speed,13.98
234,4334102,-0.0549,-0.0106,0.916,-1.0237,-1.0938,-0.2013,996.4612,smooth_constant_speed,14.04
235,4334162,0.0722,-0.0586,0.9967,1.68,-1.3825,-0.0962,996.416,smooth_constant_speed,14.1
236,4334222,0.0591,-0.0257,1.1034,-0.9975,3.6575,-0.0962,996.2585,smooth_constant_speed,14.16
237,4334282,0.0179,0.0554,1.0756,0.9013,1.8987,0.4025,996.0854,smooth_constant_speed,14.22
238,4334342,0.059,-0.0332,1.0541,0.8925,-1.61,-0.1225,996.0352,smooth_constant_speed,14.28
239,4334402,0.0532,-0.0059,1.2015,-0.2975,1.1375,0.7,995.9333,smooth_constant_speed,14.34
240,4334462,-0.0212,0.0529,1.1491,2.3975,3.0712,-0.0525,995.9966,smooth_constant_speed,14.4
241,4334522,0.0719,0.0023,0.987,0.4812,-1.015,0.0088,996.105,smooth_constant_speed,14.46
242,4334582,0.0531,0.0112,0.9736,-1.9688,-0.14,0.4375,996.0322,smooth_constant_speed,14.52
243,4334642,-0.0187,0.0003,1.0646,0.5163,2.905,0.1838,996.1965,smooth_constant_speed,14.58
244,4334702,-0.0024,-0.017,1.0706,1.6975,1.1988,-0.4638,996.2561,smooth_constant_speed,14.64
245,4334762,0.0529,0.012,0.9896,-1.0237,-0.2713,0.6125,996.2898,smooth_constant_speed,14.7
246,4334822,-0.0946,-0.0578,0.8078,-0.105,0.945,-0.0787,996.2283,smooth_constant_speed,14.76
247,4334882,0.0417,0.0012,0.805,0.63,-4.0862,0.0525,996.1848,smooth_constant_speed,14.82
248,4334942,0.1235,0.05,1.2081,0.0088,1.3913,0.175,996.1897,smooth_constant_speed,14.88
