index,timestamp,a_x,a_y,a_z,dps_x,dps_y,dps_z,pressure,target,segment_id
0,3347342,0.0182,0.0115,0.9939,0.2800,0.0088,0.0962,1000.3286,smooth_accel_decel,0
1,3347402,0.0193,0.0099,1.0016,0.1838,0.1050,0.1312,1000.3347,smooth_accel_decel,0
2,3347462,0.0185,0.0124,0.9963,0.3675,0.1838,0.1138,1000.3274,smooth_accel_decel,0
3,3347522,0.0187,0.0066,0.9955,0.3675,0.0525,0.2100,1000.3320,smooth_accel_decel,0
4,3347582,0.0164,0.0112,0.9952,0.1488,0.1138,0.1663,1000.3225,smooth_accel_decel,0
5,3347642,0.0181,0.0115,0.9991,0.2450,0.0525,0.1838,1000.3257,smooth_accel_decel,0
6,3347702,0.0185,0.0110,0.9922,0.2800,0.0175,0.1488,1000.3364,smooth_accel_decel,0
7,3347762,0.0178,0.0112,0.9969,0.2887,-0.1138,0.1838,1000.3296,smooth_accel_decel,0
8,3347822,0.0184,0.0110,0.9940,0.2013,0.1400,0.1488,1000.3320,smooth_accel_decel,0
9,3347882,0.0171,0.0090,0.9960,0.2625,0.0437,0.1925,1000.3433,smooth_accel_decel,0
10,3347942,0.0192,0.0107,0.9943,0.1838,0.0962,0.1925,1000.3259,smooth_accel_decel,0
11,3348002,0.0198,0.0095,0.9936,0.2362,0.1312,0.2013,1000.3269,smooth_accel_decel,0
12,3348062,0.0173,0.0120,0.9943,0.1925,0.0787,0.1750,1000.3293,smooth_accel_decel,0
13,3348122,0.0163,0.0097,0.9948,0.1312,-0.0175,0.1225,1000.3284,smooth_accel_decel,0
14,3348182,0.0193,0.0117,0.9960,0.2975,0.0962,0.1225,1000.3274,smooth_accel_decel,0
15,3348242,0.0149,0.0093,0.9745,0.1138,0.0175,0.1838,1000.3394,smooth_accel_decel,0
16,3348302,0.0182,0.0103,0.9957,0.0875,0.1312,0.2013,1000.3271,smooth_accel_decel,0
17,3348362,0.0153,0.0108,0.9914,0.0175,0.1575,0.1488,1000.3452,smooth_accel_decel,0
18,3348422,0.0218,0.0092,0.9902,0.0700,0.1575,0.1488,1000.3391,smooth_accel_decel,0
19,3348482,0.0138,0.0054,0.9833,0.2100,0.0525,0.0613,1000.3208,smooth_accel_decel,0
20,3348542,0.0125,0.0115,0.9845,0.1663,0.0962,0.1050,1000.3220,smooth_accel_decel,0
21,3348602,0.0178,0.0077,1.0040,0.1050,0.1050,0.1138,1000.3293,smooth_accel_decel,0
22,3348662,0.0224,0.0166,0.9950,0.2100,0.0700,0.2013,1000.3354,smooth_accel_decel,0
23,3348722,0.0110,0.0078,0.9904,0.2625,0.2013,0.1400,1000.3298,smooth_accel_decel,0
24,3348782,0.0206,0.0161,0.9970,0.0525,0.0962,0.2100,1000.3328,smooth_accel_decel,0
25,3348842,0.0190,0.0142,0.9953,0.0875,-0.0262,0.2188,1000.3313,smooth_accel_decel,0
26,3348902,0.0171,0.0110,0.9941,0.2188,0.0787,0.2013,1000.3271,smooth_accel_decel,0
27,3348962,0.0160,0.0185,0.9938,0.4375,0.1663,0.1312,1000.3337,smooth_accel_decel,0
28,3349022,0.0173,-0.0024,0.9902,0.1663,-0.0700,0.1225,1000.3379,smooth_accel_decel,0
