label,duration,num_samples,accel_mag_mean,accel_mag_max,accel_mag_min,accel_mag_range,dps_mag_mean,dps_mag_max,dps_mag_min,dps_mag_range,a_x_mean,a_x_std,a_x_min,a_x_max,a_x_range,a_x_abs_max,a_x_delta,a_x_max_neighbor_diff,a_x_min_neighbor_diff,a_x_avg_neighbor_diff,a_x_max_gradient,a_x_min_gradient,a_x_num_peaks,a_x_zero_crossings,a_y_mean,a_y_std,a_y_min,a_y_max,a_y_range,a_y_abs_max,a_y_delta,a_y_max_neighbor_diff,a_y_min_neighbor_diff,a_y_avg_neighbor_diff,a_y_max_gradient,a_y_min_gradient,a_y_num_peaks,a_y_zero_crossings,a_z_mean,a_z_std,a_z_min,a_z_max,a_z_range,a_z_abs_max,a_z_delta,a_z_max_neighbor_diff,a_z_min_neighbor_diff,a_z_avg_neighbor_diff,a_z_max_gradient,a_z_min_gradient,a_z_num_peaks,a_z_zero_crossings,dps_x_mean,dps_x_std,dps_x_min,dps_x_max,dps_x_range,dps_x_abs_max,dps_x_delta,dps_x_max_neighbor_diff,dps_x_min_neighbor_diff,dps_x_avg_neighbor_diff,dps_x_max_gradient,dps_x_min_gradient,dps_x_num_peaks,dps_x_zero_crossings,dps_y_mean,dps_y_std,dps_y_min,dps_y_max,dps_y_range,dps_y_abs_max,dps_y_delta,dps_y_max_neighbor_diff,dps_y_min_neighbor_diff,dps_y_avg_neighbor_diff,dps_y_max_gradient,dps_y_min_gradient,dps_y_num_peaks,dps_y_zero_crossings,dps_z_mean,dps_z_std,dps_z_min,dps_z_max,dps_z_range,dps_z_abs_max,dps_z_delta,dps_z_max_neighbor_diff,dps_z_min_neighbor_diff,dps_z_avg_neighbor_diff,dps_z_max_gradient,dps_z_min_gradient,dps_z_num_peaks,dps_z_zero_crossings
bumps,1.8,31,1.0063909627035836,1.3285937038839224,0.7714012380078217,0.5571924658761007,7.126191077137207,12.252862987073676,3.325391688207571,8.927471298866104,0.0092967741935483,0.0714785678082177,-0.1288,0.1401,0.2689,0.1401,0.0770999999999999,0.0814999999999999,-0.0657,0.00257,0.8305,-0.6295000000000001,1,2,0.0256322580645161,0.0687691083122684,-0.1356,0.2023,0.3379,0.2023,0.0941,0.1159,-0.1472,0.0031366666666666,0.6345000000000005,-0.6758333333333331,1,4,1.0013451612903224,0.1555884075345582,0.7663,1.3211,0.5548,1.3211,-0.0190999999999998,0.1652000000000001,-0.2065000000000001,-0.0006366666666666,1.6666666666666643,-1.7355000000000018,1,0,0.5769322580645159,4.248586496972618,-7.8925,7.1137,15.0062,7.8925,-1.1725,5.285,-5.8363,-0.0390833333333333,45.13549999999995,-45.4706666666667,1,4,-0.2568516129032259,6.198668103599405,-8.8462,11.5588,20.405,11.5588,-10.0537,4.5675,-6.2912,-0.3351233333333333,49.583333333333286,-56.90416666666661,1,3,0.2187483870967742,1.080101267126056,-2.065,2.52,4.585,2.52,1.1287,2.4499,-2.3363,0.0376233333333333,7.814444444444438,-7.279444444444445,1,2
bumps,1.8,31,1.0004994333638573,1.281940252117859,0.745320213062815,0.5366200390550439,8.17131471450365,14.1769430304985,4.089611839771593,10.087331190726909,0.0121967741935483,0.0654966843123679,-0.1154,0.1301,0.2455,0.1301,0.0542,0.1129999999999999,-0.0660999999999999,0.0018066666666666,0.7765,-0.5501666666666667,1,2,0.016774193548387,0.1042711528267907,-0.213,0.1986,0.4115999999999999,0.213,0.2741,0.1618,-0.1688,0.0091366666666666,1.030999999999999,-1.0459999999999996,1,5,0.9931193548387096,0.1497302717541442,0.7415,1.2752,0.5336999999999998,1.2752,-0.0529999999999999,0.1795999999999999,-0.2022999999999999,-0.0017666666666666,1.5290000000000008,-1.7361666666666666,1,0,0.4233806451612902,5.975422832314567,-11.375,9.835,21.21,11.375,1.4875,7.2712,-7.2451,0.0495833333333332,67.43333333333327,-64.77916666666675,1,3,-0.1668064516129031,6.2621096919454375,-9.4675,10.64,20.1075,10.64,-11.0076,3.8849,-5.512499999999999,-0.3669200000000001,45.66049999999996,-54.30833333333328,1,3,0.3110419354838709,1.542569040869634,-2.4062,3.5612,5.9674,3.5612,4.2174,2.975,-2.8962,0.14058,14.194166666666652,-8.123,1,4
bumps,1.8,31,1.0032063655561876,1.318568348626646,0.7633510201735503,0.5552173284530957,8.22298082505618,15.115106355232834,4.366114627446238,10.748991727786596,0.0136354838709677,0.0663413724528271,-0.1143,0.1307,0.245,0.1307,0.0465999999999999,0.0753,-0.0613999999999999,0.0015533333333333,0.804,-0.5988333333333333,1,2,0.0191677419354838,0.1099406215102703,-0.2313,0.2105,0.4417999999999999,0.2313,0.1809,0.1412,-0.1792,0.0060299999999999,1.112499999999999,-1.1381666666666663,1,4,0.9950903225806452,0.1441853075151064,0.7535,1.312,0.5585000000000001,1.312,-0.0488,0.1601999999999999,-0.1727999999999999,-0.0016266666666666,1.5043333333333306,-1.6758333333333368,1,0,0.395725806451613,6.419668792960571,-12.0837,11.3488,23.4325,12.0837,-0.5075,8.015,-7.3238,-0.0169166666666666,72.49383333333327,-72.26066666666675,1,4,-0.2235516129032257,6.001286076771154,-9.2575,10.2812,19.5387,10.2812,-10.3162,3.6575,-5.4337,-0.3438733333333333,42.18949999999995,-51.07083333333328,1,3,0.3389967741935484,1.489267667117829,-2.66,3.3338,5.9938,3.3338,2.9663,2.9311999999999996,-2.8175000000000003,0.0988766666666666,14.607777777777766,-8.93477777777778,1,3
bumps,1.8,31,1.0051221044731495,1.2863874416364611,0.7558411142561642,0.530546327380297,7.965056289099282,14.301138674245488,3.804201288049832,10.496937386195656,0.0115354838709677,0.0673479004789661,-0.1276,0.1185,0.2460999999999999,0.1276,0.0317999999999999,0.1376,-0.0607,0.00106,0.7721666666666664,-0.5706666666666667,1,2,0.0249903225806451,0.103300575522239,-0.2027,0.2076,0.4103,0.2076,0.0673999999999999,0.1173,-0.1754,0.0022466666666666,1.0018333333333345,-1.0509999999999995,1,6,0.997583870967742,0.1385498107704089,0.7535,1.279,0.5255,1.279,0.0362,0.1765000000000001,-0.1621999999999999,0.0012066666666666,1.3726666666666691,-1.629833333333333,1,0,0.2811290322580645,6.295401124429036,-11.3313,9.9487,21.28,11.3313,-3.0887,6.9388,-7.1049999999999995,-0.1029566666666666,67.54999999999995,-66.70416666666674,1,3,-0.4225322580645161,5.694532522363716,-8.8112,9.5725,18.383699999999997,9.5725,-8.6975,3.4299999999999997,-5.5038,-0.2899166666666666,41.314666666666625,-47.20633333333328,1,3,-0.0824193548387096,1.4213412206830924,-3.3075,3.185,6.4925,3.3075,2.0212000000000003,3.0101,-3.4036999999999997,0.0673733333333333,16.187499999999986,-9.418194444444447,1,2
bumps,1.8,31,1.007432385104011,1.291366632680278,0.7591690259751118,0.5321976067051661,7.972960037944912,13.780947218896094,3.877690026291426,9.903257192604668,0.0100967741935483,0.069970262654316,-0.1086,0.1377,0.2463,0.1377,0.0754,0.1036,-0.0763,0.0025133333333333,0.7663333333333331,-0.5966666666666668,1,4,0.0271483870967742,0.0918956396171502,-0.1944,0.2225,0.4169,0.2225,0.1076,0.1435,-0.1969,0.0035866666666666,0.9189999999999988,-0.9705,1,4,1.000790322580645,0.1448962602573273,0.7584,1.2844,0.526,1.2844,-0.0395999999999998,0.1601000000000001,-0.2579,-0.0013199999999999,1.4861666666666702,-1.6504999999999992,1,0,0.2718193548387097,5.699972845339959,-11.76,9.5112,21.2712,11.76,-1.8551,6.203800000000001,-7.2624,-0.0618366666666666,61.06033333333328,-62.970833333333424,1,3,-0.1383,6.239204645999894,-9.2575,10.6488,19.9063,10.6488,-11.585,3.8588,-6.6675,-0.3861666666666667,43.40016666666663,-51.81466666666661,1,3,-0.3471741935483871,1.559157097273554,-3.4913,3.0275,6.5188,3.4913,3.3249999999999997,3.325,-3.4212,0.1108333333333333,18.703333333333315,-8.934555555555558,1,3
bumps,1.8,31,0.9976709540312,1.1941190727896442,0.8652892984430121,0.3288297743466322,6.4588595352088305,16.80014722614061,0.8840892941326685,15.91605793200794,0.0059741935483871,0.0560961850618615,-0.1113,0.1105,0.2218,0.1113,0.001,0.0552,-0.0735,3.333333333333313e-05,0.4303333333333333,-0.3041666666666667,1,2,0.0293451612903225,0.1166970460600429,-0.1678,0.2645,0.4323,0.2645,-0.0127,0.1788,-0.1553999999999999,-0.0004233333333333,1.3068333333333335,-1.217666666666667,1,3,0.9893129032258065,0.069226573616088,0.8616,1.17,0.3083999999999999,1.17,-0.0048000000000001,0.1236999999999999,-0.0798999999999999,-0.00016,0.8391666666666673,-0.7306666666666644,1,0,0.368074193548387,6.887417735308725,-12.3112,15.2863,27.5975,15.2863,-1.3475,8.0938,-7.9975,-0.0449166666666666,86.31883333333332,-66.79166666666666,1,4,0.2486645161290322,3.922543775795531,-8.1112,5.8275,13.9387,8.1112,-2.2399,4.0249999999999995,-3.7713,-0.0746633333333333,36.414666666666655,-37.91666666666664,0,2,0.142816129032258,0.7967213453049417,-1.3563,1.82,3.1763000000000003,1.82,-0.4813,1.47,-1.6887,-0.0160433333333333,6.475000000000002,-4.623000000000002,1,0
bumps,1.8,31,1.009588961976198,1.290540282207417,0.7254749823391569,0.5650652998682602,9.26213072112638,19.228402179588404,3.601600338738322,15.626801840850082,0.0275774193548387,0.0774949620284115,-0.1196,0.1623,0.2819,0.1623,0.0250999999999999,0.1197999999999999,-0.1423,0.0008366666666666,0.7359999999999999,-0.6870000000000002,0,2,-0.0005645161290322,0.1729942668575794,-0.3914,0.2796,0.671,0.3914,0.1881,0.5202,-0.2764,0.0062699999999999,1.9208333333333336,-1.771666666666666,1,7,0.9920032258064516,0.1477911803500037,0.7141,1.2701,0.556,1.2701,-0.0257999999999998,0.2337,-0.3918000000000001,-0.0008599999999999,1.5721666666666678,-1.700666666666666,1,0,0.5930193548387096,7.778757466348951,-15.7413,14.1925,29.9338,15.7413,4.0425,8.9425,-11.3574,0.1347500000000002,89.55633333333331,-84.20416666666672,1,4,-0.8140451612903226,6.261865469269186,-10.815,9.9312,20.7462,10.815,-10.8676,4.856199999999999,-5.145,-0.3622533333333333,46.15616666666662,-51.40599999999995,1,3,0.3500129032258064,1.7519973271939155,-3.115,3.7713,6.8863,3.7713,2.5025,3.115,-3.5698999999999996,0.0834166666666666,14.194499999999987,-8.88133333333333,1,6
hard_accel,8.4,141,1.0324310666864078,1.3458862842008608,0.7665667420388129,0.5793195421620478,2.224837628927732,12.961147043761214,0.2301765626644033,12.73097048109681,-0.2255602836879432,0.1523564940148281,-0.4529,0.0742,0.5271,0.4529,-0.0051,0.2593,-0.2331,-3.642857142857098e-05,0.5439999999999993,-0.6561666666666675,0,1,0.0107446808510638,0.0686954328129731,-0.1381,0.2364,0.3745,0.2364,0.0092,0.2732,-0.2244,6.5714285714287e-05,1.072499999999997,-0.722666666666661,1,22,0.992527659574468,0.0983050319206084,0.6307,1.3381,0.7074,1.3381,-0.0203999999999999,0.4926,-0.4740999999999999,-0.0001457142857142,1.139333333333342,-0.9703333333333396,1,0,0.2874418439716312,1.928917889578656,-4.7075,10.22,14.9275,10.22,-0.9188,9.4237,-10.6488,-0.0065628571428571,25.7103333333335,-15.910333333333169,2,14,-0.1644517730496453,2.0047115200947005,-5.25,7.9625,13.2125,7.9625,0.8749999999999999,7.6912,-6.4925,0.0062499999999999,27.154000000000178,-30.78533333333337,2,11,0.3286517730496454,0.5206894998259295,-1.225,1.6537,2.8787000000000003,1.6537,0.2537,1.5049,-1.4525,0.0018121428571428,4.972833333333366,-6.752000000000042,2,0
hard_accel,8.1,136,1.027549568784139,1.4573982571692614,0.510618536678801,0.9467797204904604,3.1023309809157618,11.729261893657249,0.5169660337004743,11.212295859956775,-0.2467095588235294,0.1472953826832461,-0.5476,0.145,0.6926,0.5476,-0.0546,0.2763,-0.2739,-0.0004044444444444,1.0335000000000063,-0.8594999999999999,0,6,0.0438257352941176,0.0854997786406695,-0.2779,0.2528,0.5307,0.2779,0.0189,0.2933,-0.3913999999999999,0.0001399999999999,0.6973611111111053,-0.7885000000000028,2,28,0.9800625,0.158954994300157,0.4653,1.405,0.9397,1.405,0.0276,0.8306,-0.6138999999999999,0.0002044444444444,2.3073333333333492,-1.840666666666662,2,0,-0.0165985294117647,2.233719579402309,-6.4662,6.0025,12.4687,6.4662,3.0187,10.482500000000002,-6.1425,0.0223607407407408,33.96450000000008,-27.766666666666712,3,10,0.2567764705882353,2.796046286223017,-7.7087,11.7163,19.425,11.7163,1.5749999999999995,15.7501,-9.8699,0.0116666666666666,27.649999999999896,-31.966499999999893,2,26,0.2415875,0.6174070719624608,-1.505,2.3012,3.8062,2.3012,-0.2362999999999999,2.3013,-2.345,-0.0017503703703703,4.229333333333343,-5.745833333333333,2,0
hard_accel,6.78,114,1.037068822359189,1.2626246037520417,0.7251646778491075,0.5374599259029341,3.040458918838144,7.5296273566492,0.3004318891196472,7.229195467529553,-0.2686938596491228,0.1344074226808063,-0.5239,0.114,0.6379,0.5239,0.0867,0.3199999999999999,-0.3206,0.0007672566371681,0.7515000000000034,-0.9014999999999994,0,2,0.0151956140350877,0.0802757684930001,-0.1953,0.1923,0.3876,0.1953,0.028,0.3624,-0.3257,0.0002477876106194,0.6265000000000044,-0.5309999999999933,2,38,0.9877061403508772,0.1142936346334066,0.5836,1.2432,0.6596000000000001,1.2432,0.1205,0.5100000000000001,-0.3855,0.0010663716814159,1.2093333333333334,-0.8763333333333314,2,0,0.4017315789473684,1.9475363659488003,-4.5237,4.725,9.2487,4.725,1.4175,6.133699999999999,-6.422499999999999,0.0125442477876106,19.410333333333313,-14.641833333333317,2,12,0.2766201754385964,2.747518689482999,-7.2362,6.6413,13.8775,7.2362,-3.6313,10.5612,-12.3637,-0.0321353982300884,24.689666666666643,-20.34366666666665,2,25,0.4028815789473684,0.4607120749767074,-0.4025,1.7675,2.17,1.7675,0.8312,1.575,-1.5225,0.0073557522123893,4.229166666666672,-4.3605000000000125,2,0
