,source_dataset,segment_id,label,duration,num_samples,accel_mag_mean,accel_mag_max,accel_mag_min,accel_mag_range,dps_mag_mean,dps_mag_max,dps_mag_min,dps_mag_range,a_x_mean,a_x_std,a_x_min,a_x_max,a_x_range,a_x_abs_max,a_x_delta,a_x_max_neighbor_diff,a_x_min_neighbor_diff,a_x_avg_neighbor_diff,a_x_max_gradient,a_x_min_gradient,a_x_num_peaks,a_x_zero_crossings,a_y_mean,a_y_std,a_y_min,a_y_max,a_y_range,a_y_abs_max,a_y_delta,a_y_max_neighbor_diff,a_y_min_neighbor_diff,a_y_avg_neighbor_diff,a_y_max_gradient,a_y_min_gradient,a_y_num_peaks,a_y_zero_crossings,a_z_mean,a_z_std,a_z_min,a_z_max,a_z_range,a_z_abs_max,a_z_delta,a_z_max_neighbor_diff,a_z_min_neighbor_diff,a_z_avg_neighbor_diff,a_z_max_gradient,a_z_min_gradient,a_z_num_peaks,a_z_zero_crossings,dps_x_mean,dps_x_std,dps_x_min,dps_x_max,dps_x_range,dps_x_abs_max,dps_x_delta,dps_x_max_neighbor_diff,dps_x_min_neighbor_diff,dps_x_avg_neighbor_diff,dps_x_max_gradient,dps_x_min_gradient,dps_x_num_peaks,dps_x_zero_crossings,dps_y_mean,dps_y_std,dps_y_min,dps_y_max,dps_y_range,dps_y_abs_max,dps_y_delta,dps_y_max_neighbor_diff,dps_y_min_neighbor_diff,dps_y_avg_neighbor_diff,dps_y_max_gradient,dps_y_min_gradient,dps_y_num_peaks,dps_y_zero_crossings,dps_z_mean,dps_z_std,dps_z_min,dps_z_max,dps_z_range,dps_z_abs_max,dps_z_delta,dps_z_max_neighbor_diff,dps_z_min_neighbor_diff,dps_z_avg_neighbor_diff,dps_z_max_gradient,dps_z_min_gradient,dps_z_num_peaks,dps_z_zero_crossings
0,clean/clockwise_circle.csv,0,clockwise_circle,2.34,40,0.9980865400961043,1.013523132444445,0.9866159435160168,0.02690718892842814,1.2163055442621653,5.509443954701781,0.2704391243884657,5.239004830313315,-0.0425475,0.0689497103524903,-0.1479,0.0251,0.17300000000000001,0.1479,-0.1336,0.01709999999999999,-0.036199999999999996,-0.0034256410256410254,0.0651666666666666,-0.3373333333333337,0,0,0.032095,0.014305529682160653,0.0178,0.0763,0.05850000000000001,0.0763,0.05560000000000001,0.012200000000000003,-0.009000000000000005,0.0014256410256410258,0.07624999999999993,-0.02149999999999999,0,0,0.9942425,0.005208714960377616,0.9784,1.0044,0.025999999999999912,1.0044,0.005599999999999938,0.02189999999999992,-0.01540000000000008,0.000143589743589742,0.032666666666665733,-0.06416666666666693,1,0,0.32572999999999996,0.1492813918367522,0.0,0.7262,0.7262,0.7262,0.12249999999999994,0.44619999999999993,-0.5863,0.0031410256410256397,1.0938333333333357,-0.8458749999999999,0,0,0.190525,0.2916318787312315,-0.3237,0.9275,1.2511999999999999,0.9275,0.0875,0.5337,-0.32370000000000004,0.0022435897435897413,2.756333333333331,-2.274999999999998,1,0,-0.7964625,1.577518986303314,-5.46,0.385,5.845,5.46,-5.845,0.10499999999999998,-0.7174000000000005,-0.14987179487179486,0.1166666666666667,-8.020666666666667,0,0
1,clean/clockwise_circle.csv,1,clockwise_circle,2.34,40,1.001965843055037,1.0331700198902405,0.9760180787260039,0.05715194116423661,7.267598359741081,17.8664756440659,0.5147299680414965,17.351745676024404,-0.0888675,0.04116620712397924,-0.1479,0.022,0.1699,0.1479,-0.0424,0.046200000000000005,-0.047299999999999995,-0.0010871794871794868,0.16099999999999992,-0.32216666666666705,0,0,0.07062,0.03470555412580942,0.0219,0.1371,0.1152,0.1371,0.1122,0.032200000000000006,-0.028000000000000004,0.002876923076923077,0.13995833333333352,-0.0774999999999999,0,0,0.9940875,0.012557706541791119,0.9661,1.0268,0.060699999999999976,1.0268,-0.009299999999999975,0.057599999999999985,-0.060699999999999976,-0.00023846153846153782,0.05966666666666853,-0.06516666666666637,1,0,0.47097249999999996,0.42307819365019,-0.2975,1.6187,1.9162,1.6187,0.77,0.9712,-0.8049000000000001,0.019743589743589755,4.214833333333329,-4.797999999999996,1,0,0.0612425,0.5044892359338076,-1.1463,1.0762,2.2225,1.1463,-0.525,1.645,-1.7675,-0.013461538461538467,2.6736111111111085,-2.274999999999998,0,0,-7.112655000000001,6.201089408588437,-17.85,0.1925,18.0425,17.85,-17.8675,0.1750000000000007,-1.0151000000000003,-0.45814102564102566,-0.2549999999999999,-14.043666666666667,0,0
2,clean/clockwise_circle.csv,2,clockwise_circle,2.3400000000000003,40,1.0005424451386475,1.044050927876605,0.949304087213365,0.09474684066324002,16.51096728741632,24.55917377234014,5.641910747255755,18.917263025084388,-0.0422,0.04693201302047299,-0.1332,0.0447,0.1779,0.1332,0.1543,0.0747,-0.056900000000000006,0.003956410256410257,0.1773333333333319,-0.039999999999999716,0,0,0.12256749999999998,0.03765923040391803,0.0483,0.2092,0.1609,0.2092,0.1609,0.05199999999999999,-0.0402,0.004125641025641025,0.21933333333333338,-0.08233333333333293,0,0,0.9903325000000001,0.022383869965119638,0.9404,1.0302,0.08979999999999999,1.0302,0.016199999999999992,0.07740000000000002,-0.06259999999999999,0.0004153846153846152,0.12016666666666787,-0.142000000000003,1,0,0.4469149999999999,0.7722878503976318,-1.015,2.345,3.3600000000000003,2.345,-0.6824,0.9712,-1.6975000000000002,-0.017497435897435895,6.256333333333327,-8.70633333333339,1,0,-0.3780075,0.6425046021535267,-1.89,1.19,3.08,1.89,-0.5075000000000001,3.08,-2.5812999999999997,-0.013012820512820492,2.1874999999999813,-3.9811666666666987,1,0,-16.4701225,5.187560053281682,-24.5525,-5.635,18.917499999999997,24.5525,-18.917499999999997,0.28000000000000114,-1.1724999999999994,-0.4850641025641026,-1.3565000000000111,-14.043666666666638,0,0
3,clean/clockwise_circle.csv,3,clockwise_circle,2.3400000000000003,40,1.0034500814414176,1.0841904030196912,0.9426251959289016,0.14156520709078957,23.695163610880307,27.552849278795104,17.562740905963395,9.99010837283171,0.0131,0.03805738581911027,-0.0847,0.0891,0.1738,0.0891,0.0761,0.0811,-0.056900000000000006,0.0019512820512820523,0.1773333333333319,-0.1065000000000009,0,1,0.17006000000000002,0.04033951933913963,0.0969,0.2596,0.1627,0.2596,0.13329999999999997,0.059199999999999975,-0.0681,0.0034179487179487175,0.21933333333333338,-0.24333333333333296,1,0,0.9873999999999998,0.03211946450363083,0.9264,1.0599,0.13350000000000006,1.0599,0.019400000000000084,0.13200000000000012,-0.07869999999999999,0.0004974358974358996,0.1653333333333329,-0.20597222222222247,1,0,0.04441250000000001,1.0255372301153012,-2.6775,2.345,5.022500000000001,2.6775,0.4637,1.8987000000000003,-1.8637000000000001,0.011889743589743608,6.314666666666616,-10.675000000000042,1,1,-0.6796575,0.8609030356929778,-2.5025,1.19,3.6925,2.5025,-0.7000000000000001,3.08,-2.5812999999999997,-0.01794871794871792,4.703472222222184,-7.466500000000024,1,0,-23.64906,3.586865202716927,-27.5187,-17.5525,9.9662,27.5187,-9.485000000000003,0.3324999999999996,-1.1724999999999994,-0.24320512820512827,1.1373333333334017,-9.37700000000001,0,0
4,clean/clockwise_circle.csv,4,clockwise_circle,2.34,40,1.0061034992147757,1.0841904030196912,0.8975301109155057,0.18666029210418544,27.035176163232528,27.797340702484473,25.0984863426064,2.698854359878073,0.03683,0.02959826918016556,-0.0198,0.1271,0.1469,0.1271,-0.008399999999999998,0.08689999999999999,-0.055900000000000005,-0.0002153846153846155,0.16045833333333348,-0.2986666666666682,1,0,0.1905875,0.02395966897057401,0.1401,0.2596,0.1195,0.2596,-0.012199999999999989,0.059199999999999975,-0.07819999999999999,-0.0003128205128205125,0.1841666666666666,-0.24333333333333274,1,0,0.9865375000000001,0.04387478504586106,0.8762,1.0637,0.1875000000000001,1.0637,-0.08360000000000001,0.14029999999999998,-0.1381,-0.0021435897435897436,0.26899999999999835,-0.4086666666666696,1,0,-0.42504,0.9157587549859043,-2.6775,1.7938,4.4713,2.6775,-1.155,1.8987000000000003,-1.9775,-0.029615384615384623,6.299833333333307,-10.675000000000043,0,0,-0.7450525000000001,1.0060057452523665,-3.1762,1.1025,4.278700000000001,3.1762,-2.8699999999999997,1.3912,-1.9162000000000001,-0.07358974358974357,5.629166666666673,-7.714666666666712,1,0,-26.988054999999996,0.5688821323325063,-27.7812,-25.0425,2.738699999999998,27.7812,-1.7149999999999999,1.0938000000000017,-1.1724999999999994,-0.043974358974358974,3.171944444444484,-6.100694444444411,0,0
5,clean/clockwise_circle.csv,5,clockwise_circle,2.34,40,1.0053419064831637,1.0990035987202227,0.8975301109155057,0.20147348780471697,26.946435161780528,27.797340702484473,25.804563296827947,1.9927774056565255,0.03095,0.0338364240093954,-0.0553,0.1271,0.1824,0.1271,-0.09269999999999999,0.09759999999999999,-0.0871,-0.002376923076923076,0.2744999999999967,-0.32861111111111313,0,2,0.1904725,0.02688488267905714,0.1108,0.256,0.1452,0.256,0.024800000000000016,0.0776,-0.0942,0.0006358974358974363,0.30549999999999855,-0.2164999999999988,1,0,0.9857775,0.04537847952329556,0.8762,1.0721,0.19590000000000007,1.0721,-0.1100000000000001,0.15200000000000002,-0.1381,-0.002820512820512823,0.3696666666666646,-0.5408333333333346,1,0,-0.18178750000000002,0.9930463722969091,-1.9075,2.3187,4.2262,2.3187,0.5075,3.2637,-2.0213,0.013012820512820525,9.756333333333396,-6.766666666666682,1,0,-0.5256449999999999,0.9560092277609576,-3.1762,1.4438,4.62,3.1762,0.8837,2.4675,-1.9162000000000001,0.022658974358974363,10.120833333333298,-7.714666666666716,0,0,-26.906245000000002,0.4758902598935369,-27.7812,-25.795,1.9861999999999966,27.7812,-0.4112000000000009,1.0938000000000017,-0.8399999999999999,-0.010543589743589767,3.864500000000021,-3.266666666666623,1,0
6,clean/clockwise_circle.csv,6,clockwise_circle,2.339999999999999,40,1.0134888648879947,1.1228252134682404,0.9092718900306992,0.2135533234375412,26.814006258288657,27.689964638655642,25.804563296827947,1.885401341827695,0.03387249999999999,0.03176907856019911,-0.0553,0.0913,0.1466,0.0913,0.0482,0.09759999999999999,-0.0871,0.0012358974358974355,0.2744999999999967,-0.1955000000000023,1,1,0.20110250000000002,0.03634507329149444,0.1108,0.2913,0.1805,0.2913,0.05740000000000001,0.1378,-0.0942,0.001471794871794872,0.30549999999999855,-0.27033333333333265,1,0,0.9917325,0.044670315890923254,0.9008,1.0834,0.18259999999999987,1.0834,0.04589999999999994,0.15200000000000002,-0.12949999999999995,0.0011769230769230754,0.3696666666666637,-0.2824999999999971,1,0,0.31171499999999996,0.9878568321345313,-1.82,2.3187,4.1387,2.3187,-0.8838,3.2637,-2.8263,-0.02266153846153846,9.756333333333398,-6.766666666666681,1,0,-0.5433675,0.8904879991380986,-2.6775,1.4438,4.1213,2.6775,-2.0475,2.7300000000000004,-1.995,-0.05249999999999996,8.254333333333264,-7.918833333333409,1,0,-26.774562500000002,0.38335640690033895,-27.65,-25.795,1.8549999999999969,27.65,0.07000000000000028,0.7524999999999977,-0.6911999999999985,0.0017948717948718022,2.6127777777777847,-3.266666666666623,1,0
7,clean/clockwise_circle.csv,7,clockwise_circle,2.34,40,1.018103775417233,1.18944945247791,0.8880305231240647,0.3014189293538453,27.142721597562222,28.42880790237255,26.11901075251511,2.3097971498574417,0.054970000000000005,0.03268982590881631,-0.0107,0.1466,0.1573,0.1466,0.0786,0.10370000000000001,-0.06659999999999999,0.0020153846153846155,0.20099999999999846,-0.1955000000000023,1,0,0.20016250000000002,0.03747060172441515,0.1427,0.2913,0.1486,0.2913,-0.03720000000000001,0.1378,-0.07900000000000001,-0.0009538461538461541,0.23816666666666486,-0.27033333333333265,1,0,0.9956599999999998,0.060430353215446195,0.8674,1.17,0.3026,1.17,-0.0040000000000000036,0.2761999999999999,-0.20299999999999996,-0.00010256410256410265,0.34566666666666457,-0.5015000000000072,1,0,0.23887,0.9823034541321739,-2.4237,2.2575,4.6812000000000005,2.4237,0.0,2.4412000000000003,-2.8263,3.416070845000482e-17,8.341666666666596,-5.745833333333286,1,1,-0.63503,0.9850724828726162,-2.6775,1.225,3.9025000000000003,2.6775,-0.4638,2.7300000000000004,-3.2813,-0.011892307692307681,6.635333333333279,-8.356166666666597,1,0,-27.099402499999997,0.5019276546539452,-28.4025,-26.1012,2.3013000000000012,28.4025,-1.1201000000000008,0.8661999999999992,-0.875,-0.02872051282051284,2.537500000000051,-3.6314999999999884,1,0
8,clean/clockwise_circle.csv,8,clockwise_circle,2.34,40,1.0159139859985775,1.18944945247791,0.8880305231240647,0.3014189293538453,28.670934400845272,31.106181828376172,26.11901075251511,4.987171075861063,0.06869499999999999,0.02854274302668157,0.0088,0.1466,0.1378,0.1466,-0.0014999999999999944,0.10370000000000001,-0.06659999999999999,-3.846153846153921e-05,0.1286666666666656,-0.17400000000000165,1,0,0.20436,0.035055975751609535,0.1427,0.2762,0.1335,0.2762,0.048000000000000015,0.0945,-0.07900000000000001,0.0012307692307692312,0.20083333333333186,-0.2715000000000045,1,0,0.9918374999999999,0.05732061734731163,0.8674,1.17,0.3026,1.17,0.01859999999999995,0.2761999999999999,-0.20299999999999996,0.00047692307692307563,0.34566666666666457,-0.5015000000000054,1,0,0.3683675,1.0076418816907025,-2.4237,1.9775,4.4012,2.4237,2.0037,2.4412000000000003,-2.0300000000000002,0.0513769230769231,9.965277777777988,-7.68533333333342,1,0,-0.7468074999999998,0.9464242200521297,-2.485,1.225,3.71,2.485,1.6538,2.5987999999999998,-3.2813,0.04240512820512817,5.262222222222334,-8.356166666666597,0,0,-28.626502500000004,1.5173994348441628,-31.0888,-26.1012,4.9876000000000005,31.0888,-3.6751000000000005,0.8661999999999992,-0.875,-0.09423333333333335,1.954166666666623,-4.039666666666619,0,0
9,clean/clockwise_circle.csv,9,clockwise_circle,2.34,40,1.0187989492417153,1.1141246833276786,0.9407980867327485,0.1733265965949301,29.639908575467548,31.106181828376172,27.02099216128083,4.085189667095342,0.0659275,0.024664071112574945,0.0151,0.1166,0.10149999999999999,0.1166,-0.0464,0.06509999999999999,-0.0576,-0.0011897435897435889,0.1751666666666652,-0.15116666666666645,1,0,0.20975000000000002,0.035429597940936475,0.1318,0.2762,0.1444,0.2762,-0.003899999999999987,0.11789999999999998,-0.0754,-9.999999999999967e-05,0.1556666666666655,-0.2820833333333309,1,0,0.993845,0.04081460868428463,0.9062,1.0785,0.1723,1.0785,-0.008499999999999952,0.13079999999999992,-0.14980000000000004,-0.0002179487179487167,0.2646666666666633,-0.19649999999999856,1,0,0.358305,0.8879565474902301,-1.7325,1.9775,3.71,1.9775,-3.2112,1.7938,-2.0300000000000002,-0.08233846153846154,6.883333333333277,-8.871805555555483,1,0,-0.932525,0.8825423551250918,-2.7738,0.3325,3.1063,2.7738,-0.2974999999999999,2.7826,-2.6075,-0.007628205128205159,6.4458333333332805,-8.196000000000076,0,0,-29.59753,0.961592228519302,-31.0888,-26.9937,4.095099999999999,31.0888,0.8049999999999997,1.198800000000002,-0.8399999999999999,0.020641025641025632,5.420277777777781,-3.383500000000055,0,0
