1.4787,0.2100,1001.2632,smooth_accel_decel3
463502,0.0380,0.0140,0.9456,0.4638,-0.7350,0.2537,1001.2712,smooth_accel_decel3
463562,-0.0005,0.0296,0.8833,-1.2162,-0.3413,-0.0962,1001.2585,smooth_accel_decel3
463622,0.0842,0.0461,10489002,0.0080,0.0020,0.9955,0.1050,0.0088,0.2013,1001.3286,smooth_accel_decel3
489062,0.0073,0.0032,0.9948,0.1838,0.1138,0.2275,1001.3193,smooth_accel_decel3
489122,0.0083,0.0022,0.9943,0.1838,0.1663,0.2887,1001.3215,smooth_accel_decel3
489182,0.0066,0.0041,0.9941,0.2188,0.0000,0.2450,1001.3274,smooth_accel_decel3
489242,0.0086,0.0030,0.9945,0.1225,0.0000,0.2625,1001.3303,smooth_accel_decel3
489302,0.0099,0.0041,0.9962,0.1750,0.0875,0.2713,1001.3333,smooth_accel_decel3
489362,0.0081,0.0019,0.9935,0.2537,0.0613,0.2100,1001.3340,smooth_accel_decel3
489422,0.0070,0.0020,0.9955,0.2188,0.0437,0.2188,1001.3352,smooth_accel_decel3
489482,0.0044,-0.0012,0.9868,0.2537,-0.0088,0.1750,1001.3313,smooth_accel_decel3
489542,0.0030,-0.0002,1.0009,0.2450,0.3237,0.2275,1001.3340,smooth_accel_decel3
489602,-0.0303,-0.0043,0.9265,-0.1050,-0.2800,0.2713,1001.3315,smooth_accel_decel3
489662,0.0198,0.0134,1.0426,0.7613,-0.0350,0.2275,1001.3352,smooth_accel_decel3
489722,0.0062,-0.0037,0.9734,0.1225,0.1750,0.1663,1001.3210,smooth_accel_decel3
489782,-0.0149,0.0029,0.9919,-0.2887,0.5512,0.2713,1001.3308,smooth_accel_decel3
489842,-0.0364,-0.0081,0.9970,0.0787,0.6562,0.2275,1001.3367,smooth_accel_decel3
489902,-0.0488,0.0004,0.9969,0.0350,0.5950,0.2013,1001.3325,smooth_accel_decel3
489962,-0.0587,-0.0032,0.9889,-0.1312,0.1925,0.2625,1001.3235,smooth_accel_decel3
490022,-0.0508,-0.0034,0.9979,0.1312,0.4550,0.2013,1001.3384,smooth_accel_decel3
490082,-0.0522,-0.0054,0.9936,0.2188,0.1400,0.2188,1001.3330,smooth_accel_decel3
490142,-0.0564,-0.0056,0.9925,0.2887,0.0175,0.2450,1001.3159,smooth_accel_decel3
490202,-0.0490,0.0041,0.9977,0.3675,0.0175,0.2713,1001.3293,smooth_accel_decel3
490262,-0.0523,-0.0024,0.9897,0.2887,-0.0437,0.2275,1001.3352,smooth_accel_decel3
490322,-0.0547,-0.0027,0.9901,0.1225,0.1138,0.2537,1001.3264,smooth_accel_decel3
490382,-0.0569,-0.0007,0.9950,0.2537,0.1050,0.2100,1001.3237,smooth_accel_decel3
490442,-0.0588,-0.0013,0.9955,0.0000,0.0613,0.2537,1001.3215,smooth_accel_decel3
490502,-0.0632,-0.0037,0.9933,0.0437,0.2100,0.2975,1001.3335,smooth_accel_decel3
490562,-0.0689,-0.0045,0.9953,0.3325,0.1138,0.2450,1001.3477,smooth_accel_decel3
490622,-0.0757,-0.0079,0.9946,0.1663,0.1138,0.1663,1001.3345,smooth_accel_decel3
490682,-0.0761,-0.0048,0.9931,0.2100,0.0962,0.1225,1001.3271,smooth_accel_decel3
490742,-0.0835,-0.0070,1.0009,0.3413,0.1400,0.1312,1001.3279,smooth_accel_decel3
