timestamp,a_x,a_y,a_z,dps_x,dps_y,dps_z,pressure,target
2448182,-0.0628,0.1135,0.9404,0.4988,-0.2013,-18.6112,1000.4526,clockwise_loop
2448242,-0.0426,0.0984,0.9573,-0.3675,-0.2362,-18.7425,1000.4590,clockwise_loop
2448302,-0.0321,0.1423,0.9855,-0.3500,-0.1838,-18.4625,1000.4556,clockwise_loop
2448362,-0.0293,0.1378,1.0255,-0.6300,0.2362,-18.4275,1000.4509,clockwise_loop
2448422,0.0181,0.1268,1.0056,0.1138,-1.8900,-18.8563,1000.4641,clockwise_loop
2448482,-0.0388,0.1074,0.9936,0.4638,1.1900,-19.0138,1000.4561,clockwise_loop
2448542,-0.0386,0.1294,0.9470,1.1638,-1.3913,-20.1863,1000.4590,clockwise_loop
2448602,0.0036,0.1147,0.9887,1.5750,-0.6475,-19.9500,1000.4514,clockwise_loop
2448662,-0.0173,0.1667,0.9528,1.1988,-1.6888,-20.7200,1000.4578,clockwise_loop
2448722,0.0191,0.1490,1.0302,1.9863,-0.2188,-20.9037,1000.4575,clockwise_loop
2448782,-0.0115,0.1745,1.0094,2.3450,-0.7613,-21.9450,1000.4670,clockwise_loop
2448842,0.0405,0.1925,0.9965,0.6475,-1.3388,-22.2337,1000.4709,clockwise_loop
2448902,0.0088,0.1832,0.9895,0.3237,-0.1400,-22.8900,1000.4646,clockwise_loop
2448962,0.0405,0.1961,0.9786,0.2537,-0.9100,-23.0475,1000.4529,clockwise_loop
2449022,0.0195,0.1759,1.0085,0.1225,-0.2100,-23.1963,1000.4622,clockwise_loop
2449082,0.0285,0.1742,0.9459,-1.0150,-0.5863,-24.3250,1000.4480,clockwise_loop
2449142,0.0447,0.2092,1.0219,-0.4462,-0.3587,-24.5525,1000.4502,clockwise_loop
2449202,0.0409,0.1989,1.0020,0.5775,0.4025,-25.1475,1000.4583,clockwise_loop
2449262,0.0200,0.1735,0.9701,1.6100,0.4638,-25.0425,1000.4500,clockwise_loop
2449322,-0.0171,0.1733,0.9264,1.1025,1.1025,-26.2150,1000.4565,clockwise_loop
2449382,0.0080,0.2169,0.9279,1.7938,0.1663,-26.9325,1000.4622,clockwise_loop
2449442,0.0891,0.2101,1.0599,0.3237,-1.1287,-26.7925,1000.4543,clockwise_loop
2449502,0.0461,0.2596,1.0492,-1.5400,-0.7088,-26.4950,1000.4624,clockwise_loop
2449562,0.0146,0.2233,1.0221,-2.6775,0.3325,-27.0900,1000.4583,clockwise_loop
2449622,0.0144,0.2137,0.9538,-0.7788,-0.1663,-27.0725,1000.4587,clockwise_loop
2449682,0.0258,0.1711,0.9626,-0.8925,-1.0412,-27.5187,1000.4580,clockwise_loop
2449742,0.0379,0.1795,0.9755,-0.9013,-0.7350,-27.4312,1000.4673,clockwise_loop
2449802,0.0334,0.1860,1.0363,-0.7788,-1.4438,-27.0987,1000.4636,clockwise_loop
2449862,0.0373,0.1509,0.9576,-0.4638,-2.5025,-26.9237,1000.4556,clockwise_loop
2449922,0.0323,0.1806,1.0034,0.1225,-1.8112,-27.1863,1000.4573,clockwise_loop
2449982,0.0305,0.2150,1.0042,0.1750,-1.6363,-27.3000,1000.4587,clockwise_loop
2450042,0.0513,0.2082,0.9691,0.2800,-1.5137,-26.9850,1000.4641,clockwise_loop
2450102,0.0742,0.1401,0.9884,-0.4900,-1.1725,-26.8625,1000.4565,clockwise_loop
2450162,0.0588,0.1959,0.9604,-0.0787,-2.1788,-26.5650,1000.4712,clockwise_loop
2450222,0.0610,0.1912,0.9966,-0.5337,-1.2250,-27.1250,1000.4722,clockwise_loop
2450282,0.0056,0.1710,0.9647,-1.3737,-0.9887,-27.2038,1000.4685,clockwise_loop
2450342,0.0402,0.2302,1.0194,-0.0875,-0.9362,-27.0375,1000.4707,clockwise_loop
2450402,0.1271,0.1520,1.0637,-0.6475,-0.9362,-26.7488,1000.4692,clockwise_loop
2450462,0.0977,0.2103,1.0196,-0.2013,-0.7000,-27.1425,1000.4604,clockwise_loop
2450522,0.0778,0.1955,1.0280,-0.9887,0.6737,-26.5737,1000.4590,clockwise_loop
2450582,0.0220,0.2103,0.9073,-0.7613,0.4725,-27.0725,1000.4619,clockwise_loop
2450642,0.0442,0.1698,0.9617,0.9450,0.4725,-26.5125,1000.4661,clockwise_loop
2450702,-0.0019,0.1945,0.8762,-0.5250,-0.1925,-27.3525,1000.4619,clockwise_loop
2450762,0.0475,0.1773,0.9892,-0.0875,-0.2450,-26.9500,1000.4673,clockwise_loop
2450822,0.0195,0.1855,1.0003,-0.4288,-0.1838,-27.0987,1000.4646,clockwise_loop
2450882,0.0329,0.2033,1.0109,-0.5337,-0.9712,-27.2475,1000.4739,clockwise_loop
2450942,0.0454,0.1742,1.0030,-1.1638,0.4200,-27.3000,1000.4763,clockwise_loop
2451002,0.0542,0.2028,0.9963,-1.9075,0.4375,-27.2125,1000.4854,clockwise_loop
2451062,0.0187,0.1689,1.0009,-1.2775,-0.4812,-27.7638,1000.4680,clockwise_loop
2451122,0.0451,0.1974,1.0155,-1.3300,-1.5312,-27.5625,1000.4648,clockwise_loop
2451182,0.0361,0.2103,0.9970,0.0962,-0.2887,-27.5187,1000.4834,clockwise_loop
2451242,-0.0198,0.1735,0.9975,-0.8750,0.0875,-27.5537,1000.4795,clockwise_loop
2451302,-0.0107,0.1842,0.9340,0.3587,-0.8487,-27.7812,1000.4851,clockwise_loop
2451362,0.0418,0.1864,1.0197,0.2362,-1.2600,-27.5975,1000.4819,clockwise_loop
2451422,0.0166,0.1491,0.9162,-1.7413,-3.1762,-26.5037,1000.4771,clockwise_loop
2451482,0.0422,0.2025,1.0565,-0.9800,-2.3625,-27.1425,1000.4875,clockwise_loop
2451542,0.0325,0.1867,0.9184,-0.5775,-2.4675,-26.8625,1000.4697,clockwise_loop
2451602,0.0284,0.1712,0.9931,0.4550,0.0000,-26.8975,1000.4707,clockwise_loop
2451662,-0.0553,0.1108,0.9008,0.2013,-0.5337,-26.1800,1000.4678,clockwise_loop
2451722,0.0147,0.1783,0.9692,-1.8200,0.3675,-26.1887,1000.4436,clockwise_loop
2451782,0.0231,0.1757,0.9833,-0.6825,0.1663,-25.7950,1000.1111,clockwise_loop
2451842,0.0193,0.1867,0.9536,-0.9450,0.7613,-25.8913,1000.0334,clockwise_loop
2451902,-0.0081,0.2408,0.9201,2.3187,-0.7350,-26.5825,1000.0100,clockwise_loop
2451962,0.0895,0.2245,1.0721,0.5075,0.0875,-26.2938,999.9570,clockwise_loop
2452022,0.0346,0.1972,1.0197,1.5488,-0.9538,-26.8538,1000.1143,clockwise_loop
2452082,0.0476,0.2003,1.0161,1.8025,-1.5137,-26.8713,1000.2600,clockwise_loop
2452142,0.0163,0.2186,0.9831,1.8900,0.0525,-26.7750,1000.3572,clockwise_loop
2452202,0.0112,0.2560,1.0106,1.2075,-0.4812,-26.4600,1000.3918,clockwise_loop
2452262,-0.0112,0.1618,0.9426,0.0437,-0.9538,-26.6875,1000.4778,clockwise_loop
2452322,0.0548,0.2394,0.9797,-0.9275,-1.1550,-26.9412,1000.5134,clockwise_loop
2452382,0.0295,0.1782,0.9769,0.2188,-1.4525,-26.9150,1000.5583,clockwise_loop
2452442,0.0534,0.1781,0.9946,-0.4112,-2.1088,-26.9937,1000.5474,clockwise_loop
2452502,0.0151,0.1666,1.0338,-0.1488,-0.2887,-27.1775,1000.5168,clockwise_loop
2452562,0.0095,0.2223,0.9925,0.2013,-0.5163,-26.9500,1000.5212,clockwise_loop
2452622,0.0747,0.2052,1.0424,-0.2188,-0.0787,-26.5562,1000.5032,clockwise_loop
2452682,-0.0124,0.1959,0.9813,0.0175,1.4438,-26.5825,1000.5005,clockwise_loop
2452742,0.0344,0.1768,0.9537,-0.1400,-0.0525,-27.1600,1000.4922,clockwise_loop
2452802,0.0144,0.2384,0.9912,0.9625,-1.1200,-26.9062,1000.5015,clockwise_loop
2452862,0.0290,0.1599,0.9575,0.1838,0.7088,-26.4775,1000.5100,clockwise_loop
2452922,0.0127,0.2025,0.9885,0.0088,-0.8225,-26.9675,1000.5051,clockwise_loop
2452982,0.0620,0.2219,1.0222,1.4700,-0.6825,-26.3900,1000.5032,clockwise_loop
2453042,0.0827,0.1535,1.0316,1.3125,-2.6775,-27.0287,1000.5100,clockwise_loop
2453102,0.0461,0.2913,1.0834,1.8112,-0.0350,-26.5300,1000.4937,clockwise_loop
2453162,0.0590,0.2499,0.9906,0.9800,-0.1050,-27.1513,1000.4966,clockwise_loop
2453222,0.0526,0.2328,1.0289,-0.6125,-0.5950,-27.0550,1000.5007,clockwise_loop
2453282,0.0266,0.2585,0.9570,-0.8838,-1.9162,-27.2650,1000.4944,clockwise_loop
2453342,0.0443,0.2355,1.0370,0.2625,0.2800,-26.7575,1000.4927,clockwise_loop
2453402,-0.0015,0.1865,0.9170,-0.5863,-0.4025,-27.3088,1000.5042,clockwise_loop
2453462,-0.0107,0.1925,0.9953,0.6475,-1.3388,-27.6500,1000.5227,clockwise_loop
2453522,0.0439,0.1723,1.0372,2.2575,-0.4812,-26.8975,1000.5176,clockwise_loop
2453582,0.0388,0.1735,0.9167,-0.5688,-1.6100,-27.0025,1000.5059,clockwise_loop
2453642,0.0749,0.2211,1.0385,0.7175,1.1200,-26.5300,1000.5042,clockwise_loop
2453702,0.0203,0.2267,0.9090,0.7000,-0.5950,-26.9150,1000.4875,clockwise_loop
2453762,0.0625,0.1662,0.9726,0.6037,-0.2800,-27.0987,1000.4851,clockwise_loop
2453822,0.0913,0.1979,1.0527,-0.3237,0.0875,-27.0375,1000.4565,clockwise_loop
2453882,0.0603,0.1502,0.9842,-1.1638,-1.2775,-26.4338,1000.4658,clockwise_loop
2453942,0.0766,0.2286,1.0390,-0.4288,-2.0475,-26.8275,1000.4629,clockwise_loop
2454002,0.0520,0.1543,1.0044,-0.5250,-1.5400,-26.6787,1000.4629,clockwise_loop
2454062,0.1058,0.2093,1.0293,-0.1925,0.9450,-26.1012,1000.4565,clockwise_loop
2454122,0.0717,0.1745,1.0406,-1.6888,1.1550,-26.5125,1000.4592,clockwise_loop
2454182,0.1013,0.1427,1.0231,-2.4237,-0.5688,-26.3638,1000.4609,clockwise_loop
2454242,0.0347,0.2372,1.0607,0.0175,1.2250,-26.9062,1000.4478,clockwise_loop
2454302,0.0429,0.1940,0.8938,-0.9712,-2.0563,-27.6325,1000.4456,clockwise_loop
2454362,0.1466,0.1562,1.1700,0.2100,-1.2425,-27.3263,1000.4304,clockwise_loop
2454422,0.1081,0.2015,0.9670,-0.5075,-1.6712,-26.9150,1000.4272,clockwise_loop
2454482,0.0449,0.1660,0.9155,1.4000,-0.8225,-27.1688,1000.4309,clockwise_loop
2454542,0.0088,0.1901,0.8674,0.8225,-1.5662,-27.9037,1000.4360,clockwise_loop
2454602,0.0574,0.2738,1.0704,0.9800,0.2362,-27.0375,1000.4333,clockwise_loop
2454662,0.1005,0.1957,1.0264,-0.4725,-1.4350,-27.4050,1000.4187,clockwise_loop
2454722,0.0498,0.1774,0.9721,0.6300,-0.6475,-27.3787,1000.4229,clockwise_loop
2454782,0.0382,0.1555,0.9238,-0.3500,-0.7788,-27.5362,1000.4402,clockwise_loop
2454842,0.0686,0.2283,1.0665,0.3675,0.8138,-27.5537,1000.4258,clockwise_loop
2454902,0.0532,0.1493,0.9262,0.4638,-1.1287,-27.7550,1000.4248,clockwise_loop
2454962,0.0353,0.1864,0.9582,0.6562,-1.2337,-27.6150,1000.4260,clockwise_loop
2455022,0.0290,0.1994,0.9626,1.6187,0.4812,-27.5275,1000.4177,clockwise_loop
2455082,0.0712,0.2540,1.0111,1.2075,-0.1925,-28.4025,1000.4258,clockwise_loop
2455142,0.0930,0.2012,0.9872,0.9625,-1.5838,-28.0263,1000.4238,clockwise_loop
2455202,0.0814,0.2153,0.9526,1.4787,-1.2337,-28.4725,1000.4253,clockwise_loop
2455262,0.0727,0.2018,1.0307,0.9187,0.3325,-28.6475,1000.4119,clockwise_loop
2455322,0.0151,0.2636,0.9199,0.0350,-0.7700,-28.9188,1000.4124,clockwise_loop
2455382,0.0737,0.1882,1.0311,0.2450,-0.2537,-29.1550,1000.4160,clockwise_loop
2455442,0.0620,0.2000,1.0209,-0.1575,-0.0787,-29.3037,1000.4053,clockwise_loop
2455502,0.0842,0.2524,1.0134,-0.4288,-0.6300,-29.4263,1000.4282,clockwise_loop
2455562,0.0874,0.1779,0.9936,0.2800,-0.1488,-29.4613,1000.4209,clockwise_loop
2455622,0.0623,0.2201,1.0260,0.4725,-0.1575,-30.0125,1000.4048,clockwise_loop
2455682,0.0866,0.2062,0.9548,1.5312,-1.2162,-29.8200,1000.4080,clockwise_loop
2455742,0.0800,0.2125,0.9982,1.8987,-1.0500,-30.1787,1000.4036,clockwise_loop
2455802,0.0630,0.2516,0.9892,0.9625,-1.1725,-30.3713,1000.4102,clockwise_loop
2455862,0.1067,0.1828,0.9443,1.5750,-1.6712,-30.0125,1000.3926,clockwise_loop
2455922,0.0626,0.2762,0.9574,0.8662,-2.1962,-30.8525,1000.3999,clockwise_loop
2455982,0.0900,0.2435,0.9511,1.2775,-1.6888,-30.9400,1000.4067,clockwise_loop
2456042,0.0515,0.2230,0.9721,-0.7525,-0.7175,-31.0888,1000.4033,clockwise_loop
2456102,0.1166,0.2540,1.0785,-0.9975,-1.3475,-30.6775,1000.4065,clockwise_loop
2456162,0.0627,0.1994,1.0138,-0.9625,-2.0125,-30.3975,1000.3965,clockwise_loop
2456222,0.0506,0.1670,0.9833,0.8313,0.1225,-30.7213,1000.4041,clockwise_loop
2456282,0.0752,0.1898,0.9433,1.9775,-2.4850,-30.5025,1000.4099,clockwise_loop
2456342,0.0505,0.2023,1.0230,1.4787,0.1138,-30.3538,1000.4146,clockwise_loop
2456402,0.1023,0.2650,1.0659,0.9013,-0.0875,-30.7825,1000.4070,clockwise_loop
