index,timestamp,a_x,a_y,a_z,dps_x,dps_y,dps_z,pressure,target,time_sec
64,1972922,-0.0747,0.1149,0.9948,0.7088,0.245,-10.6138,1000.5928,weave,3.84
65,1972982,-0.0696,0.0859,0.9861,-0.3237,-0.0437,-11.34,1000.595,weave,3.9
66,1973042,-0.0907,0.0776,1.0014,-0.9887,-0.0613,-11.8125,1000.594,weave,3.96
67,1973102,-0.0915,0.0964,0.978,-0.14,-0.3063,-12.845,1000.5876,weave,4.02
68,1973162,-0.0425,0.084,1.0045,-0.42,-0.7875,-13.1862,1000.5884,weave,4.08
69,1973222,-0.0739,0.1013,0.9852,0.6737,-0.5512,-14.4462,1000.593,weave,4.14
70,1973282,-0.0717,0.1045,0.989,1.015,0.5337,-14.63,1000.5945,weave,4.2
71,1973342,-0.0713,0.0954,0.9592,0.875,-0.6737,-15.6713,1000.584,weave,4.26
72,1973402,-0.0339,0.0922,1.0345,-0.21,0.0962,-15.61,1000.5918,weave,4.32
73,1973462,-0.0688,0.1383,0.9782,0.245,-0.3938,-16.765,1000.583,weave,4.38
74,1973522,-0.0384,0.1171,0.9897,-0.5425,-0.5425,-17.2375,1000.5869,weave,4.44
75,1973582,-0.0366,0.0902,0.9826,-0.0962,-0.4988,-17.7887,1000.5962,weave,4.5
76,1973642,-0.0341,0.0842,1.0329,-0.6388,0.035,-18.2612,1000.5781,weave,4.56
77,1973702,-0.0361,0.1203,0.9841,-0.4812,-0.385,-18.6812,1000.5759,weave,4.62
78,1973762,-0.022,0.1213,0.9772,-1.1287,0.385,-18.97,1000.5747,weave,4.68
79,1973822,-0.0527,0.0947,0.9921,-1.0063,-0.3237,-19.0312,1000.561,weave,4.74
80,1973882,-0.073,0.0739,0.9464,-0.9362,0.07,-18.9263,1000.5613,weave,4.8
81,1973942,-0.0467,0.0847,1.0309,-1.8375,0.1138,-18.4713,1000.5645,weave,4.86
82,1974002,-0.05,0.1169,0.9914,-1.4262,-0.0437,-17.8325,1000.5613,weave,4.92
83,1974062,-0.0811,0.0235,0.9896,-1.4438,0.2537,-17.1763,1000.561,weave,4.98
84,1974122,-0.0831,0.0507,0.9406,-1.0938,-0.8313,-16.4937,1000.5569,weave,5.04
