2711882,0.0173,0.0059,0.9919,0.4725,-0.1312,0.3413,1000.3992,bumps
2711942,0.0120,0.0166,0.9950,0.8575,0.0962,0.2275,1000.4065,bumps
2712002,0.0131,0.0009,0.9914,0.9275,0.1838,0.2887,1000.4070,bumps
2712062,0.0090,0.0449,0.9889,0.6125,0.3500,0.3150,1000.3892,bumps
2712122,0.0163,0.0001,0.9964,-0.3325,-0.2188,0.3063,1000.3904,bumps
2712182,0.0203,0.0007,0.9866,0.5775,-0.2013,0.0787,1000.3958,bumps
2712242,0.0047,0.0126,1.0002,0.2975,0.0000,0.1138,1000.3967,bumps
2712302,0.0224,0.0037,0.9922,0.4200,-0.2450,0.0962,1000.3872,bumps
2712362,0.0134,0.0056,0.9933,0.0525,0.1138,0.0700,1000.4009,bumps
2712422,0.0086,0.0053,0.9974,0.3150,-0.1925,0.1225,1000.4014,bumps
2712482,0.0181,0.0049,0.9939,0.2713,0.0525,0.1400,1000.3979,bumps
2712542,0.0157,0.0090,0.9907,0.3063,0.2013,0.1400,1000.4050,bumps
2712602,0.0129,0.0014,0.9955,0.2625,0.3500,0.1663,1000.4080,bumps
2712662,0.0016,0.0076,0.9887,0.2887,0.1838,0.1488,1000.4077,bumps
2712722,0.0093,0.0054,0.9902,0.3150,0.2537,0.1400,1000.4001,bumps
2712782,-0.0032,0.0073,0.9997,0.2800,0.3938,0.2188,1000.3982,bumps
2712842,-0.0353,0.0047,0.9938,0.2537,0.5425,0.1750,1000.4053,bumps
2712902,-0.0634,0.0100,0.9972,0.4025,0.8838,0.2100,1000.4050,bumps
2712962,-0.1075,0.0093,0.9975,0.3063,1.0412,0.1488,1000.4043,bumps
2713022,-0.1276,0.0142,0.9988,0.3063,1.2425,0.1925,1000.4028,bumps
2713082,-0.1340,0.0098,0.9967,0.2013,1.0675,0.2450,1000.4060,bumps
2713142,-0.1448,0.0057,0.9945,-0.0088,0.8487,0.2275,1000.4016,bumps
2713202,-0.1573,0.0095,0.9953,-0.0175,0.6562,0.3325,1000.4119,bumps
2713262,-0.1774,0.0080,0.9892,0.1400,0.7437,0.3938,1000.3962,bumps
2713322,-0.1896,0.0019,0.9906,0.0875,0.7788,0.6037,1000.4055,bumps
2713382,-0.1979,-0.0030,0.9867,-0.0875,0.5600,0.8050,1000.4182,bumps
2713442,-0.2089,0.0110,0.9903,-0.0700,0.5950,0.8662,1000.4033,bumps
2713502,-0.2211,0.0117,0.9931,0.1488,0.5775,0.7875,1000.4092,bumps
2713562,-0.2250,0.0084,0.9837,-0.0787,0.1925,0.9362,1000.4053,bumps
2713622,-0.2766,-0.0127,0.9404,0.4462,1.9425,1.1550,1000.4084,bumps
2713682,-0.2264,-0.0007,0.9907,0.7875,0.2275,1.0850,1000.4204,bumps
2713742,-0.2240,0.0113,0.9885,0.3325,0.0787,1.3650,1000.4019,bumps
2713802,-0.2115,0.0098,0.9750,0.4900,-0.7613,1.3913,1000.4062,bumps
2713862,-0.1788,0.0117,1.0044,0.7525,-0.3938,1.5488,1000.4109,bumps
2713922,-0.1668,0.0120,1.0038,0.3413,0.5425,1.7500,1000.4143,bumps
2713982,-0.2130,-0.0176,0.9738,0.2713,0.0437,1.6537,1000.4238,bumps
2714042,-0.1975,-0.0198,0.9860,-0.4550,-0.3850,1.8288,1000.4211,bumps
2714102,-0.2252,-0.0120,0.9755,-0.1575,-0.1750,1.9162,1000.4133,bumps
2714162,-0.2034,-0.0032,1.0131,-0.0875,0.1488,2.0300,1000.4243,bumps
2714222,-0.1196,-0.0093,0.9841,1.0500,-0.4988,2.2838,1000.4155,bumps
2714282,-0.0881,-0.0039,1.0052,0.6650,-1.2950,2.1437,1000.4241,bumps
2714342,-0.1613,0.0045,0.9562,0.8750,-1.2862,2.2400,1000.4167,bumps
2714402,-0.1688,0.0342,0.9986,0.4200,-0.3938,2.5812,1000.4194,bumps
2714462,-0.1152,-0.0391,1.0231,0.7000,0.4288,2.6163,1000.4094,bumps
2714522,-0.0845,0.0288,0.9887,-0.3850,-1.3650,2.7475,1000.4202,bumps
2714582,-0.1569,0.0012,0.9574,0.7262,-0.9800,2.8350,1000.4285,bumps
2714642,-0.1364,-0.0077,1.0209,-0.2100,-0.5425,3.1412,1000.4221,bumps
2714702,-0.1588,-0.0183,0.9943,1.3038,0.2450,3.5087,1000.4167,bumps
2714762,-0.1315,-0.0098,0.9658,-1.2425,-0.4288,3.4825,1000.4128,bumps
2714822,-0.0803,-0.0523,1.0356,0.6475,-1.6187,3.9813,1000.4165,bumps
2714882,-0.1196,-0.0300,0.9553,0.0700,-1.0150,4.0512,1000.4136,bumps
2714942,-0.1078,-0.0432,0.9919,0.2800,-0.3413,4.3313,1000.4077,bumps
2715002,-0.1235,-0.0120,0.9728,0.3150,-0.2625,4.4012,1000.4104,bumps
2715062,-0.1208,-0.0318,0.9731,1.0237,0.3413,4.5413,1000.4163,bumps
2715122,-0.0769,-0.0020,0.9985,-0.2975,-0.7088,4.5850,1000.4207,bumps
2715182,-0.1064,-0.0261,0.9584,-0.4725,-1.1550,4.6287,1000.4163,bumps
2715242,-0.1299,-0.0229,0.9897,0.0875,0.0350,4.7337,1000.4182,bumps
2715302,-0.1144,0.0002,1.0319,0.1925,-0.5688,4.9088,1000.4109,bumps
2715362,-0.1247,-0.0203,1.0077,0.1400,0.4025,5.0487,1000.4146,bumps
2715422,-0.1352,-0.0515,1.0292,0.0787,0.8225,5.1537,1000.4158,bumps
2715482,-0.1405,-0.0398,0.9409,0.0787,-0.3063,4.9788,1000.4089,bumps
2715542,-0.1255,-0.0515,0.9392,1.2162,0.0437,5.1275,1000.4114,bumps
