4518482,0.0188,0.0063,1.0004,0.9100,-0.4025,0.4988,999.2769,commute
4518542,0.0166,0.0005,0.9984,0.4812,-0.2713,0.3325,999.2776,commute
4518602,0.0087,-0.0176,0.9958,-0.0088,-0.1575,0.2713,999.2834,commute
4518662,0.0179,-0.0020,0.9870,0.2887,-0.0350,0.2450,999.2944,commute
4518722,0.0127,-0.0042,0.9925,0.2100,0.2713,0.1225,999.2871,commute
4518782,0.0205,0.0071,1.0092,0.3938,0.2713,0.2100,999.2969,commute
4518842,0.0190,-0.0032,1.0089,0.2713,-0.3587,0.1838,999.2952,commute
4518902,0.0237,0.0029,1.0258,0.0700,0.4288,0.1575,999.2947,commute
4518962,0.0232,0.0062,1.0202,0.3762,0.0787,0.1838,999.2925,commute
4519022,0.0283,-0.0007,1.0173,0.3587,-0.4812,0.1838,999.2957,commute
4519082,0.0157,-0.0041,0.9872,0.2188,-0.3325,0.1925,999.2949,commute
4519142,0.0248,0.0041,0.9791,0.0700,0.6737,0.2362,999.2964,commute
4519202,0.0280,0.0097,1.0582,0.1488,0.8838,0.2100,999.2876,commute
4519262,0.0241,0.0083,1.0348,0.5512,0.3850,0.1838,999.3013,commute
4519322,0.0246,0.0093,1.0189,0.5688,-0.4812,0.2188,999.2676,commute
4519382,0.0053,0.0037,0.9464,0.0437,-0.3325,0.1225,999.2563,commute
4519442,0.0061,0.0012,0.9540,0.1050,-0.1838,0.2362,999.2473,commute
4519502,-0.0020,-0.0052,0.9247,0.0175,-0.5863,0.2625,999.2388,commute
4519562,0.0145,-0.0010,0.9537,0.0613,-0.1750,0.1838,999.2429,commute
4519622,-0.0010,-0.0064,0.9108,-0.0700,-0.7088,0.2275,999.2302,commute
4519682,0.0015,-0.0035,0.9603,0.1225,0.1400,0.2625,999.2322,commute
4519742,0.0185,-0.0102,0.9687,0.2100,1.0762,0.2013,999.2344,commute
4519802,0.0198,-0.0059,1.0333,0.1225,1.0412,0.2975,999.2388,commute
4519862,0.0264,0.0037,1.0641,0.3500,0.0350,0.2100,999.2595,commute
4519922,0.0263,-0.0005,1.0248,0.3675,-0.3237,0.1663,999.2461,commute
4519982,0.0200,0.0061,0.9863,0.1138,-0.7613,0.2013,999.2439,commute
4520042,0.0054,-0.0019,0.9684,0.2537,0.2887,0.2362,999.2490,commute
4520102,0.0214,0.0045,1.0211,0.2100,0.8225,0.1400,999.2585,commute
4520162,0.0206,-0.0030,0.9900,0.0787,0.2100,0.2100,999.2644,commute
4520222,0.0159,-0.0014,0.9838,0.0962,-0.3587,0.2188,999.2637,commute
4520282,0.0068,-0.0068,0.9821,0.0875,0.4025,0.1488,999.2690,commute
4520342,0.0168,0.0013,1.0085,0.3237,0.2625,0.2275,999.2708,commute
4520402,0.0064,-0.0232,0.9831,0.3850,0.3762,0.2975,999.2817,commute
4520462,0.0195,0.0029,0.9922,0.2450,-0.0350,0.1225,999.2773,commute
4520522,0.0235,0.0032,1.0123,0.1488,-0.0175,0.1925,999.2722,commute
4520582,0.0151,-0.0026,0.9857,0.1400,0.0962,0.1575,999.2751,commute
4520642,0.0126,-0.0027,0.9882,0.0613,-0.1050,0.1750,999.2778,commute
4520702,0.0146,-0.0023,0.9740,0.1575,-0.3587,0.1312,999.2898,commute
4520762,0.0139,-0.0034,0.9906,0.2188,0.0000,0.2713,999.2815,commute
4520822,0.0190,-0.0032,0.9947,0.2188,-0.1225,0.2013,999.2720,commute
4520882,0.0142,0.0015,1.0082,0.2362,0.0262,0.2625,999.2500,commute
4520942,0.0162,0.0012,0.9911,0.1400,0.1663,0.2100,999.2563,commute
4521002,0.0134,-0.0010,0.9967,0.0350,0.0000,0.1838,999.2588,commute
4521062,0.0217,0.0005,1.0004,0.2713,0.1400,0.1575,999.2659,commute
4521122,0.0179,-0.0019,0.9897,0.2275,0.2100,0.2013,999.2488,commute
4521182,0.0183,0.0010,1.0004,0.2450,-0.0700,0.1838,999.2549,commute
4521242,0.0107,0.0007,0.9917,0.2362,0.3500,0.2450,999.2537,commute
4521302,0.0106,-0.0024,0.9994,0.2537,-0.0787,0.1400,999.2585,commute
4521362,0.0143,-0.0010,0.9951,0.1838,0.0525,0.2188,999.2546,commute
4521422,0.0120,-0.0016,0.9894,0.2100,0.1838,0.2537,999.2561,commute
4521482,0.0201,0.0009,1.0075,0.2800,0.0350,0.1838,999.2563,commute
4521542,0.0171,0.0005,0.9999,0.1838,0.2275,0.2537,999.2578,commute
4521602,0.0120,-0.0019,0.9938,0.3762,0.0613,0.1750,999.2712,commute
4521662,0.0159,-0.0012,0.9902,0.2713,0.1312,0.2362,999.2615,commute
4521722,0.0180,-0.0031,0.9959,0.1663,-0.0088,0.1750,999.2646,commute
4521782,0.0168,0.0009,0.9972,0.2100,-0.0437,0.1312,999.2668,commute
4521842,0.0168,-0.0065,0.9843,0.2013,0.0350,0.1225,999.2693,commute
4521902,0.0154,-0.0029,0.9921,0.1838,0.0262,0.2450,999.2776,commute
4521962,0.0087,0.0124,1.0014,0.3237,0.2100,0.1925,999.2761,commute
4522022,0.0156,0.0205,1.0939,-0.0525,-1.2775,10.9550,999.2937,commute
4522082,0.0090,-0.0168,0.9857,-0.5250,-0.3938,5.8888,999.2625,commute
4522142,0.0335,-0.0442,0.9933,0.1225,1.0325,5.1887,999.2798,commute
4522202,0.0310,-0.0037,0.9459,-0.0962,1.8900,1.5925,999.2759,commute
4522262,0.2079,-0.0430,0.9980,2.0650,-3.3250,32.0425,999.2798,commute
4522322,-0.0609,-0.0254,1.0065,-0.6825,-1.9512,19.4163,999.2917,commute
4522382,0.0808,-0.1082,1.0231,-2.4675,-11.0425,55.5187,999.2773,commute
4522442,0.1318,-0.1101,0.9336,-0.6650,-4.5588,48.8688,999.2751,commute
4522502,-0.0917,0.0095,0.9936,5.9325,2.8263,23.6513,999.2949,commute
4522562,-0.1601,0.2076,1.0360,4.4363,10.0975,30.2488,999.2903,commute
4522622,-0.0412,0.0454,0.9760,0.1488,3.5612,-8.7762,999.2896,commute
4522682,0.1208,-0.1405,0.9711,-1.0675,-1.5838,-20.9212,999.2876,commute
4522742,0.0309,0.0015,0.9619,1.8987,-1.9162,-0.6300,999.2874,commute
4522802,-0.0132,0.0254,0.9826,0.3063,-2.4500,-11.3575,999.2900,commute
4522862,0.0132,0.0102,1.0294,-1.5575,-3.3163,-34.2212,999.2861,commute
4522922,0.1061,-0.0708,1.0118,2.3975,6.2562,-9.7125,999.2898,commute
4522982,0.2322,-0.0940,1.0086,-0.2450,-1.5050,-0.1750,999.2922,commute
4523042,0.0229,0.0276,1.0233,1.4787,-2.1613,2.4150,999.2913,commute
4523102,0.0227,-0.0044,0.9929,0.3237,-0.3850,0.5512,999.2778,commute
4523162,0.0200,0.0115,0.9855,0.1225,0.1488,0.0613,999.2991,commute
4523222,0.0259,0.0000,0.9763,0.1488,0.8138,0.4988,999.2986,commute
4523282,0.0332,0.0049,1.0045,-0.2100,-0.4638,0.3413,999.3020,commute
4523342,0.0205,-0.0035,0.9795,-0.0350,0.1312,0.3762,999.3040,commute
4523402,0.0415,-0.0207,0.9728,-0.1663,1.4787,0.2188,999.2920,commute
4523462,0.0286,-0.0181,1.0392,2.0475,0.5600,-3.8763,999.3013,commute
